"Molecule","State","Excitation","LDA S","PBE S","r2SCAN S","PBE0 S","r2SCAN0 S","HSE12 S","TBE S","LDA T","PBE T","r2SCAN T","PBE0 T","r2SCAN0 T","HSE12 T","TBE T","LDA ST","PBE ST","r2SCAN ST","PBE0 ST","r2SCAN0 ST","HSE12 ST","TBE ST"
"Acetaldehyde","A’’","Valence",4.075,4.151,4.586,4.309,4.604,4.352,4.31,3.513,3.503,3.828,3.627,3.819,3.661,3.98,0.562,0.648,0.758,0.682,0.785,0.691,0.33
"Ammonia","A2","Rydberg",5.637,5.532,6.352,6.205,6.760,6.415,6.66,5.441,5.252,6.031,5.879,6.378,6.052,6.37,0.196,0.280,0.321,0.326,0.382,0.363,0.29
"Carbon monoxide","Pi","Valence",8.354,8.394,8.913,8.588,8.910,8.630,8.48,6.006,5.868,6.109,5.906,6.017,5.909,6.28,2.348,2.526,2.804,2.682,2.893,2.721,2.20
"Cyclopropene","B1","Valence",6.151,6.184,6.625,6.482,6.729,6.538,6.68,5.757,5.724,6.008,5.978,6.107,6.037,6.45,0.394,0.459,0.617,0.504,0.622,0.501,0.23
"Cyclopropene","B2","Valence",6.185,5.889,6.567,6.519,6.696,6.577,6.78,4.236,4.060,3.928,4.006,3.843,3.978,4.38,1.949,1.829,2.639,2.513,2.853,2.599,2.40
"Diazomethane","A2","Valence",3.059,3.051,3.348,3.059,3.255,3.059,3.13,2.688,2.600,2.781,2.567,2.656,2.552,2.80,0.371,0.450,0.567,0.492,0.599,0.507,0.33
"Diazomethane","B1","Rydberg",5.167,4.959,5.650,5.339,5.793,5.500,5.59,5.106,4.838,5.524,5.204,5.642,5.336,5.40,0.061,0.121,0.126,0.135,0.151,0.164,0.19
"Diazomethane","A1","Valence",5.894,5.742,6.261,6.014,6.318,6.109,5.89,4.187,4.008,4.004,3.807,3.766,3.754,4.05,1.707,1.734,2.257,2.207,2.552,2.355,1.84
"Dinitrogen","Pi_g","Valence",9.146,9.170,9.710,9.385,9.735,9.424,9.33,7.583,7.454,7.658,7.601,7.797,7.617,8.03,1.563,1.716,2.052,1.784,1.938,1.807,1.30
"Ethylene","B3u","Rydberg",6.666,6.460,7.181,6.857,7.344,7.028,7.43,6.633,6.371,7.082,6.755,7.219,6.891,7.28,0.033,0.089,0.099,0.102,0.125,0.137,0.15
"Ethylene","B1u","Valence",7.875,7.741,8.145,7.905,8.121,7.945,7.89,4.805,4.500,4.296,4.313,4.113,4.260,4.54,3.070,3.241,3.849,3.592,4.008,3.685,3.35
"Ethylene","B1g","Rydberg",7.209,6.975,7.665,7.451,7.944,7.637,8.10,7.177,6.906,7.615,7.373,7.874,7.543,8.00,0.032,0.069,0.050,0.078,0.070,0.094,0.10
"Formaldehyde","A2","Valence",3.699,3.812,4.250,3.956,4.250,3.999,3.97,3.082,3.108,3.426,3.219,3.403,3.253,3.58,0.617,0.704,0.824,0.737,0.847,0.746,0.39
"Formaldehyde","B2_3s","Rydberg",5.941,5.820,6.666,6.735,7.318,7.023,7.30,5.880,5.673,6.501,6.559,7.106,6.821,7.14,0.061,0.147,0.165,0.176,0.212,0.202,0.16
"Formaldehyde","B2_3p","Rydberg",6.731,6.601,7.348,7.558,8.094,7.887,8.14,6.699,6.487,7.254,7.421,7.953,7.726,7.96,0.032,0.114,0.094,0.137,0.141,0.161,0.18
"Formaldehyde","A1_3p","Rydberg",6.960,6.829,7.670,7.648,8.224,7.924,8.27,6.903,6.708,7.535,7.493,8.043,7.746,8.15,0.057,0.121,0.135,0.155,0.181,0.178,0.12
