,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T
Cyclopropene,$\text{B}_1(\text{V}; \sigma \rightarrow \pi^*)$,6.242889147096559,6.488985171787933,6.489647356372613,6.486782728334744,6.68,6.013803685134845,6.1818058242250045,6.1818058242250045,6.182425178410761,6.45
Diazomethane,$\text{B}_1(\text{R}; \pi \rightarrow 3s)$,5.422766670194217,5.60532753901735,5.603926899658803,5.607023344238308,5.59,5.248375425411362,5.42624024115427,5.42624024115427,5.425820456660026,5.4
Diazomethane,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,6.045691941465392,6.104352159567123,6.06915858445195,6.100733014506216,5.89,3.6389083609621515,3.950757437827926,3.950757437827926,3.957074829802943,4.05
Ethylene,$\text{B}_{3u}(\text{R}; \pi \rightarrow 3s)$,7.0277966427805465,7.119551044003839,7.126375557391237,7.1216761488778575,7.43,6.907908875802634,6.98184597162064,6.98184597162064,6.979835605543635,7.28
Ethylene,$\text{B}_{1g}(\text{R}; \pi \rightarrow 3p)$,7.632997038541393,7.732965740429979,7.731895724439989,7.734018391465096,8.1,7.529011124328941,7.6129355125989715,7.6129355125989715,7.6127498823403,8.0
Formaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,9.607106802096562,9.259312339217734,9.27606334829246,9.277374648523162,9.26,5.602983757887156,5.913604390648216,5.913604390648216,5.904792332416804,6.07
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3s)$,6.984441305578914,7.265670333888927,7.268428084974166,7.2741149062260275,7.3,6.844965421412421,7.051348212176985,7.051348212176985,7.048039239457542,7.14
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3p)$,7.787053325791674,8.056461945996697,8.049763132274569,8.05807546588852,8.14,7.642223061751055,7.8658135409428755,7.8658135409428755,7.8664591391845065,7.96
Formaldehyde,$\text{A}_1(\text{R}; n \rightarrow 3p)$,7.810391180894183,8.115633820342351,8.109591884625026,8.142652809335896,8.27,7.70780242436594,7.938328222663369,7.938328222663369,7.930318779515036,8.15
Formamide,$\text{A}'(\text{R}; \pi \rightarrow \pi^*$),6.708353169351984,6.97147885657164,6.970731295247635,6.973817856972988,7.64,6.504957518863051,6.79657511344431,6.79657511344431,6.795878453033181,5.81
Hydrogen sulfide,$\text{B}_1(\text{R}; n \rightarrow 4s$),6.171069436274418,6.277083565053111,6.273756387256587,6.274707716587712,6.29,5.687600676795182,5.821651405474977,5.821651405474977,5.822839573202429,5.94
Ketene,$\text{B}_1(\text{R}; n \rightarrow 3s$),5.972924647962248,6.119647549070177,6.119428586790672,6.120898642745237,6.06,5.759564493274806,5.883296405316195,5.883296405316195,5.88284890330879,5.85
Ketene,$\text{A}_2(\text{R}; \pi \rightarrow 3p$),7.09140380628074,7.265066605562171,7.260192294264544,7.274741168062136,7.19,7.043299591672048,7.19984583535314,7.19984583535314,7.19740076922271,7.14
Thioformaldehyde,$\text{B}_2(\text{R}; n \rightarrow 4s)$,5.790478976388149,5.965922487957436,5.966135101206346,5.965029432064602,5.99,5.5320141611901175,5.656106005989587,5.656106005989587,5.656333083667769,5.76
Thioformaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,6.250307028845237,6.10803015600779,6.131855762463284,6.109668316113168,6.34,3.0142336132054384,3.2445367344533342,3.2445367344533342,3.2401032434924484,3.44
Water,$\text{A}_2(\text{R}; n \rightarrow 3p)$,8.852216595250523,9.038200591092577,9.036632037382736,9.03586091826647,9.47,8.707216549657675,8.87417011766571,8.87417011766571,8.875182301253744,9.3
Water,$\text{A}_1(\text{R}; n \rightarrow 3s)$,9.75315616545918,9.938538995670143,9.940200910151903,9.946534242513092,9.97,9.211424162886559,9.387171190497464,9.387171190497464,9.384108835134548,9.59
