,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T
Cyclopropene,$\text{B}_1(\text{V}; \sigma \rightarrow \pi^*)$,6.392852189284846,6.455623034441324,6.456113555149106,6.455437114605189,6.68,6.111567290549831,6.147187035013476,6.147187035013476,6.147167234299791,6.45
Diazomethane,$\text{B}_1(\text{R}; \pi \rightarrow 3s)$,5.699186455897823,5.745044850124349,5.745464267434084,5.745275969356486,5.59,5.514435338810758,5.557102265555502,5.557102265555502,5.556948303592181,5.4
Diazomethane,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,5.253436528278286,5.267455730426781,5.270172048126524,5.270048053225757,5.89,4.247265079805464,4.3146737843462635,4.3146737843462635,4.313351064253522,4.05
Ethylene,$\text{B}_{3u}(\text{R}; \pi \rightarrow 3s)$,7.408623507323395,7.440684102771139,7.441725558810602,7.4405478833168734,7.43,7.269412364823376,7.294248442386633,7.294248442386633,7.294127420209003,7.28
Ethylene,$\text{B}_{1g}(\text{R}; \pi \rightarrow 3p)$,8.05173739177757,8.082958811525332,8.083154522725755,8.083112927010554,8.1,7.937262897440977,7.963077272824837,7.963077272824837,7.962993030617352,8.0
Formaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,8.430851801467218,8.334447709945346,8.342934995662914,8.34011704867013,9.26,6.520283249489419,6.608887993218558,6.608887993218558,6.605567334026335,6.07
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3s)$,6.995994546208338,7.062503816870591,7.0651490589240025,7.063514676037166,7.3,6.818745124548047,6.860647987583125,6.860647987583125,6.85987905235351,7.14
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3p)$,7.779552940317307,7.843033443257511,7.843434433894852,7.842831794002531,8.14,7.613300904307634,7.65839111091021,7.65839111091021,7.6583744573630455,7.96
Formaldehyde,$\text{A}_1(\text{R}; n \rightarrow 3p)$,7.850806004783724,7.919342606375743,7.921203002411176,7.920074984021321,8.27,7.711724973588055,7.754643643459623,7.754643643459623,7.754099445900258,8.15
Formamide,$\text{A}'(\text{R}; \pi \rightarrow \pi^*$),6.57077252180033,6.613345002989528,6.61258015846077,6.615104786611897,7.64,5.6850924526230004,5.7477672826368025,5.7477672826368025,5.747308496795849,5.81
Hydrogen sulfide,$\text{B}_1(\text{R}; n \rightarrow 4s$),6.154481294082242,6.201269843420878,6.203980462792452,6.201940997516377,6.29,5.765042581163646,5.804526845527677,5.804526845527677,5.803858263757767,5.94
Ketene,$\text{B}_1(\text{R}; n \rightarrow 3s$),6.062048937541463,6.102391403826824,6.103117351150311,6.102709161432874,6.06,5.837276318971716,5.870584059764378,5.870584059764378,5.870358475898454,5.85
Ketene,$\text{A}_2(\text{R}; \pi \rightarrow 3p$),7.168826566804219,7.203730293801581,7.203909134053258,7.203886931129839,7.19,7.102450008202658,7.136908609376075,7.136908609376075,7.13682071036216,7.14
Thioformaldehyde,$\text{B}_2(\text{R}; n \rightarrow 4s)$,5.754330552559891,5.811227135816912,5.813746882742765,5.810822539716481,5.99,5.4934855571896355,5.528536104258879,5.528536104258879,5.528258904049172,5.76
Thioformaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,5.222405165236846,5.171142734454209,5.1812006370352,5.172326062476844,6.34,3.6752873300377615,3.7430193031834826,3.7430193031834826,3.740966071599698,3.44
Water,$\text{A}_2(\text{R}; n \rightarrow 3p)$,9.349529076739152,9.4158609132838,9.416462255487815,9.416147809258113,9.47,9.12165033811839,9.181437272787493,9.181437272787493,9.181241877685776,9.3
Water,$\text{A}_1(\text{R}; n \rightarrow 3s)$,9.919894530328927,10.003612307128058,10.00722475576464,10.00485649421889,9.97,9.533117454047492,9.59129779818933,9.59129779818933,9.59028796335864,9.59
