,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T
Cyclopropene,$\text{B}_1(\text{V}; \sigma \rightarrow \pi^*)$,6.20203210676404,6.3275886322971155,6.328574554356361,6.32637060977151,6.68,5.994288327651395,6.063390707280512,6.063390707280512,6.063633353386193,6.45
Diazomethane,$\text{B}_1(\text{R}; \pi \rightarrow 3s)$,5.476467025721644,5.583038241346552,5.581205985861793,5.585761021595736,5.59,5.285565961679494,5.371125892623013,5.371125892623013,5.370452519563555,5.4
Diazomethane,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,5.2545295119883715,5.286301907839239,5.276026867658451,5.291932438969652,5.89,3.994782911540906,4.102375696603425,4.102375696603425,4.1020015076842515,4.05
Ethylene,$\text{B}_{3u}(\text{R}; \pi \rightarrow 3s)$,7.135823492600468,7.219446896619317,7.224214367270931,7.221010431481038,7.43,7.010440080854036,7.067066299127947,7.067066299127947,7.065672377438099,7.28
Ethylene,$\text{B}_{1g}(\text{R}; \pi \rightarrow 3p)$,7.730735533858487,7.831589174251673,7.830859085825211,7.8322420223738165,8.1,7.605571871165016,7.672312568312801,7.672312568312801,7.672199233497887,8.0
Formaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,8.560462998160666,8.39731471592341,8.418756434972607,8.412534146284171,9.26,6.1160630963212155,6.279370061817591,6.279370061817591,6.27070522980077,6.07
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3s)$,6.8834425654897045,7.001340470538695,7.004989541941387,7.010756067151173,7.3,6.685990926532295,6.764535863144659,6.764535863144659,6.760743348625262,7.14
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3p)$,7.640252765184911,7.772309075444941,7.767006953952687,7.7742586171482255,8.14,7.479627807416282,7.559980658857199,7.559980658857199,7.560275832578072,7.96
Formaldehyde,$\text{A}_1(\text{R}; n \rightarrow 3p)$,7.6709155688009165,7.815100865721528,7.810669289267801,7.839242082970633,8.27,7.529276640913507,7.631189857766313,7.631189857766313,7.623827865462726,8.15
Formamide,$\text{A}'(\text{R}; \pi \rightarrow \pi^*$),6.513696634756862,6.593371326555653,6.590782120442947,6.597115208435446,7.64,5.473439174572623,5.579556236633121,5.579556236633121,5.578740266780244,5.81
Hydrogen sulfide,$\text{B}_1(\text{R}; n \rightarrow 4s$),6.047974867428002,6.14859502353783,6.151938109429758,6.149793571803437,6.29,5.5855009114293175,5.66336047309287,5.66336047309287,5.662321849460353,5.94
Ketene,$\text{B}_1(\text{R}; n \rightarrow 3s$),5.8626302346971135,5.956987057212164,5.956273025482673,5.959735767061203,6.06,5.631394763525485,5.697601049458477,5.697601049458477,5.696743736482977,5.85
Ketene,$\text{A}_2(\text{R}; \pi \rightarrow 3p$),6.836714798869374,6.950757012145322,6.950755233272998,6.955425805144299,7.19,6.802202772894416,6.906257298965797,6.906257298965797,6.904708099336637,7.14
Thioformaldehyde,$\text{B}_2(\text{R}; n \rightarrow 4s)$,5.674037917239184,5.7917054692471455,5.793975598051209,5.792309531162153,5.99,5.366383139397179,5.436932324520108,5.436932324520108,5.436336255510463,5.76
Thioformaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,5.380879378224687,5.288630687302442,5.317862161743167,5.292333604803276,6.34,3.3700655719024555,3.5073470498520947,3.5073470498520947,3.501345009912222,3.44
Water,$\text{A}_2(\text{R}; n \rightarrow 3p)$,8.882589372782522,9.030911567482717,9.030259085262793,9.029913826248567,9.47,8.735652239452673,8.835516163292757,8.835516163292757,8.835940659074689,9.3
Water,$\text{A}_1(\text{R}; n \rightarrow 3s)$,9.72745199421519,9.868767953287817,9.870852492656839,9.87593680985075,9.97,9.273510146461895,9.371144430218374,9.371144430218374,9.368318157926485,9.59
