,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T
Cyclopropene,$\text{B}_1(\text{V}; \sigma \rightarrow \pi^*)$,6.249208252472188,6.466967290706407,6.4677188251466875,6.46515781417084,6.68,6.022607050243433,6.168315182172862,6.168315182172862,6.168793381841541,6.45
Diazomethane,$\text{B}_1(\text{R}; \pi \rightarrow 3s)$,5.448627637741572,5.6026257483647655,5.60076275336649,5.604107093848155,5.59,5.277286267269526,5.429416378600449,5.429416378600449,5.429179768640883,5.4
Diazomethane,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,5.913264573441124,5.956406484660245,5.931247180053127,5.954970063625698,5.89,3.719528847223147,3.989424197314175,3.989424197314175,3.9936077401899195,4.05
Ethylene,$\text{B}_{3u}(\text{R}; \pi \rightarrow 3s)$,7.069046482920629,7.14928254116539,7.1545627231609,7.1515321507637655,7.43,6.953941873039898,7.021027831653182,7.021027831653182,7.019326072066778,7.28
Ethylene,$\text{B}_{1g}(\text{R}; \pi \rightarrow 3p)$,7.686931560037562,7.773028221474127,7.772143775489189,7.774106189738812,8.1,7.580312730482103,7.6543850115144,7.6543850115144,7.654160477702435,8.0
Formaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,9.400036205637514,9.092719186322332,9.112167604192825,9.109011193058235,9.26,5.716167016737429,5.99076212974368,5.99076212974368,5.982078966233033,6.07
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3s)$,6.9801221741114405,7.212624865841425,7.2147062879232475,7.221139149355095,7.3,6.833374469681831,7.005736426832131,7.005736426832131,7.002511164575874,7.14
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3p)$,7.778534387183227,8.003662895741323,7.997724146228235,8.004971680493254,8.14,7.632520126597766,7.816881946475407,7.816881946475407,7.817504260805426,7.96
Formaldehyde,$\text{A}_1(\text{R}; n \rightarrow 3p)$,7.808761418516694,8.060275571563471,8.055405232632701,8.084778831305789,8.27,7.700301418746737,7.890728141225761,7.890728141225761,7.883354044179085,8.15
Formamide,$\text{A}'(\text{R}; \pi \rightarrow \pi^*$),6.716861013221839,6.936360214957771,6.935544795826745,6.938367861046909,7.64,6.520486611302012,6.767327049918851,6.767327049918851,6.766763936317853,5.81
Hydrogen sulfide,$\text{B}_1(\text{R}; n \rightarrow 4s$),6.1668593175673845,6.262753461284619,6.261304616319337,6.261561475944231,6.29,5.686681877146872,5.812786146643677,5.812786146643677,5.813312186692817,5.94
Ketene,$\text{B}_1(\text{R}; n \rightarrow 3s$),5.968341314163466,6.0939953803560085,6.092825949114283,6.095293825939429,6.06,5.756753271074844,5.865894352638958,5.865894352638958,5.865582999441644,5.85
Ketene,$\text{A}_2(\text{R}; \pi \rightarrow 3p$),7.096246556317722,7.247856105610008,7.243459184214586,7.256601010693467,7.19,7.0466167962533275,7.182968220650703,7.182968220650703,7.180753634483848,7.14
Thioformaldehyde,$\text{B}_2(\text{R}; n \rightarrow 4s)$,5.79118309287914,5.941312123048464,5.941252116399061,5.940609832427435,5.99,5.520940648058613,5.634751263992262,5.634751263992262,5.634958142632294,5.76
Thioformaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,6.090290012027542,5.960178746468687,5.984607485515977,5.962995268686273,6.34,3.0904211024803514,3.2981538683485314,3.2981538683485314,3.293197906702633,3.44
Water,$\text{A}_2(\text{R}; n \rightarrow 3p)$,8.8807269954461,9.048387170804816,9.046860314810857,9.045862852645673,9.47,8.733062088225974,8.881682379098763,8.881682379098763,8.88274940318195,9.3
Water,$\text{A}_1(\text{R}; n \rightarrow 3s)$,9.756493534051959,9.923953128891773,9.92559501739555,9.932380192417595,9.97,9.240005820525285,9.400331689169398,9.400331689169398,9.397146342823213,9.59
