,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T
Cyclopropene,$\text{B}_1(\text{V}; \sigma \rightarrow \pi^*)$,6.136130714718672,6.394678827792484,6.397019379306889,6.391644158253665,6.68,5.924050926129875,6.078263997521892,6.078263997521892,6.078900861104,6.45
Diazomethane,$\text{B}_1(\text{R}; \pi \rightarrow 3s)$,5.462131819283376,5.599421331180877,5.663097369468995,5.6527363469910386,5.59,5.277756480861142,5.52221524287556,5.52221524287556,5.499425374072987,5.4
Diazomethane,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,5.598605272543083,5.683569894954999,5.679454185578486,5.702749793731661,5.89,3.779610090497122,4.025802201124612,4.025802201124612,4.019848032415133,4.05
Ethylene,$\text{B}_{3u}(\text{R}; \pi \rightarrow 3s)$,7.086288437719767,7.178245699119989,7.204157024173133,7.227720854489241,7.43,6.995174695971506,7.167924672880338,7.167924672880338,7.148311013876933,7.28
Ethylene,$\text{B}_{1g}(\text{R}; \pi \rightarrow 3p)$,7.760379792835378,7.837682177867029,7.862720949005664,7.902421470856601,8.1,7.593748579376636,7.797621675920855,7.797621675920855,7.773274616036193,8.0
Formaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,9.260323300279037,8.971301628382124,8.994614941489088,8.995797284658014,9.26,5.678452549163025,5.981646154428863,5.981646154428863,5.969825143969429,6.07
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3s)$,6.95438514508594,7.1676743170202375,7.212205748071248,7.226113282668205,7.3,6.756014887494749,7.026517180400726,7.026517180400726,7.000493656067214,7.14
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3p)$,7.746927793109388,7.9612154789368414,7.968453195538678,7.977244876798613,8.14,7.61039534291862,7.816385513885898,7.816385513885898,7.809473217840629,7.96
Formaldehyde,$\text{A}_1(\text{R}; n \rightarrow 3p)$,7.761227502200866,7.994470004871315,8.026871608591197,8.03772898790699,8.27,7.652779451717836,7.93043062546007,7.93043062546007,7.9118401044671,8.15
Formamide,$\text{A}'(\text{R}; \pi \rightarrow \pi^*$),6.82670811930151,6.999961278797214,6.980709226753388,7.0127213715385475,7.64,5.371216439291914,5.601003759366154,5.601003759366154,5.600072043158785,5.81
Hydrogen sulfide,$\text{B}_1(\text{R}; n \rightarrow 4s$),6.214785655412311,6.352616069042311,6.369138190904532,6.393108943342937,6.29,5.658337959592363,5.866586070046833,5.866586070046833,5.850528380909852,5.94
Ketene,$\text{B}_1(\text{R}; n \rightarrow 3s$),5.93107631439283,6.04976005320987,6.105121178168663,6.093360058621692,6.06,5.708700215698981,5.897458739651283,5.897458739651283,5.879179957170823,5.85
Ketene,$\text{A}_2(\text{R}; \pi \rightarrow 3p$),6.897848366040325,6.980525692311843,7.069001611562226,7.07800725556482,7.19,6.860717620817771,7.093636531032857,7.093636531032857,7.0546453450324496,7.14
Thioformaldehyde,$\text{B}_2(\text{R}; n \rightarrow 4s)$,5.760827227302812,5.978815794653826,5.997171666790635,5.99347495981472,5.99,5.453343563198991,5.627575425533879,5.627575425533879,5.619879969251007,5.76
Thioformaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,5.899729855820267,5.75604707410082,5.808619076321448,5.7598387044895425,6.34,3.0532702862427317,3.3086420783446235,3.3086420783446235,3.299245145240365,3.44
Water,$\text{A}_2(\text{R}; n \rightarrow 3p)$,8.814019094082202,8.978210971147007,9.010206415509561,9.050546843223684,9.47,8.6689415428968,8.949437126269085,8.949437126269085,8.920636822280576,9.3
Water,$\text{A}_1(\text{R}; n \rightarrow 3s)$,9.801685606281469,9.991441191601947,10.004378718299249,10.005778126752492,9.97,9.226826852616803,9.451260502968246,9.451260502968246,9.44433393307822,9.59
