,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T
Cyclopropene,$\text{B}_1(\text{V}; \sigma \rightarrow \pi^*)$,6.137404546381632,6.470583943265319,6.472070741686534,6.463187375404515,6.68,5.918527897493677,6.139761849118286,6.139761849118286,6.141986795007384,6.45
Diazomethane,$\text{B}_1(\text{R}; \pi \rightarrow 3s)$,5.381053753860147,5.590455614835056,5.637870653100083,5.627447777864575,5.59,5.2197513011665,5.530242229021915,5.530242229021915,5.513110141861019,5.4
Diazomethane,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,6.105552095546089,6.167489514925834,6.182033933025221,6.1938949214553825,5.89,3.518977605814384,3.9642246739538725,3.9642246739538725,3.9528436685186934,4.05
Ethylene,$\text{B}_{3u}(\text{R}; \pi \rightarrow 3s)$,7.011619575007756,7.11179345649499,7.137299225495363,7.151435923217183,7.43,6.927172069236981,7.1021826282922484,7.1021826282922484,7.085689018601789,7.28
Ethylene,$\text{B}_{1g}(\text{R}; \pi \rightarrow 3p)$,7.709303605233904,7.786755580723944,7.810595732452024,7.839561023098039,8.1,7.570459845480572,7.771084457512706,7.771084457512706,7.750533922036693,8.0
Formaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,9.8859022469587,9.473342985985807,9.490149506461885,9.49492986885162,9.26,5.384806453131795,5.776532299322414,5.776532299322414,5.766648477630052,6.07
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3s)$,6.962172454636684,7.291210453492739,7.3193789039402315,7.339411695536306,7.3,6.822651328373531,7.186769133379813,7.186769133379813,7.166452962593552,7.14
Formaldehyde,$\text{B}_2(\text{R}; n \rightarrow 3p)$,7.793065339512916,8.108976048685888,8.114376699102761,8.127373103853428,8.14,7.663770191565505,8.004871403953821,8.004871403953821,7.99773721792791,7.96
Formaldehyde,$\text{A}_1(\text{R}; n \rightarrow 3p)$,7.823262852113663,8.161202275533128,8.184295063174844,8.20456891850835,8.27,7.745315036350671,8.11968515930698,8.11968515930698,8.102070229732195,8.15
Formamide,$\text{A}'(\text{R}; \pi \rightarrow \pi^*$),6.660586316544258,6.99492677449551,7.003919456096086,7.0164082427724095,7.64,6.450046761507674,6.901163273264831,6.901163273264831,6.8925540192316666,5.81
Hydrogen sulfide,$\text{B}_1(\text{R}; n \rightarrow 4s$),6.2169214467990725,6.32982529643932,6.342009711465752,6.352261839044724,6.29,5.6787213598606145,5.931925015316584,5.931925015316584,5.922635451978896,5.94
Ketene,$\text{B}_1(\text{R}; n \rightarrow 3s$),5.958200321452833,6.120400505234613,6.163612255091906,6.149313393779243,6.06,5.7601742904993865,5.991341126032527,5.991341126032527,5.9775596371519555,5.85
Ketene,$\text{A}_2(\text{R}; \pi \rightarrow 3p$),7.154320372715818,7.304962139794753,7.337070792570557,7.356939363054064,7.19,7.097886319727911,7.339143482146761,7.339143482146761,7.317362757980995,7.14
Thioformaldehyde,$\text{B}_2(\text{R}; n \rightarrow 4s)$,5.771452895482131,5.9970220120585225,6.005692592735254,6.01017618728878,5.99,5.524431618614652,5.752290704506127,5.752290704506127,5.746479095109824,5.76
Thioformaldehyde,$\text{A}_1(\text{V}; \pi \rightarrow \pi^*)$,6.420624955364744,6.256302001775273,6.2951781172906465,6.258372925346117,6.34,2.848151004220861,3.1484320494667504,3.1484320494667504,3.1415954999908804,3.44
Water,$\text{A}_2(\text{R}; n \rightarrow 3p)$,8.822874606285831,9.027788112073477,9.053809523138217,9.08962830224204,9.47,8.672965628899279,9.011090471409005,9.011090471409005,8.986530176844443,9.3
Water,$\text{A}_1(\text{R}; n \rightarrow 3s)$,9.758890059417025,9.967335364575213,9.974684950098474,9.979352722567054,9.97,9.162414636246876,9.453782112987538,9.453782112987538,9.448578405233235,9.59
