,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T,UKS ST,pa-SS-KS ST,pa-OSS-KS ST,pa-STA-KS ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.779774908930108,4.229034451584532,4.229404214183664,4.226621175351044,4.31,3.531830003776776,3.8540504171970054,3.8540504171970054,3.8547889952453165,3.98,0.24794490515333178,0.3749840343875266,0.37535379698665894,0.37183218010572716
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.399196216575629,6.595246118045944,6.595063202424024,6.597494496510091,6.66,6.0971993237758255,6.2509509715392575,6.2509509715392575,6.250184633541629,6.37,0.3019968927998038,0.3442951465066866,0.3441122308847664,0.3473098629684621
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,8.04337260665199,8.062820037732969,8.060795372492976,8.040387938995154,8.48,5.84573513146451,6.166798755578964,6.166798755578964,6.174570604545885,6.28,2.1976374751874808,1.8960212821540052,1.8939966169140119,1.86581733444927
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,6.733668530205133,6.493003747795405,6.507361182960627,6.497958398361285,6.78,3.92093908825012,4.268225058863593,4.268225058863593,4.264137385088894,4.38,2.812729441955013,2.2247786889318117,2.2391361240970333,2.233821013272391
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.5715453552858643,2.9330789732692457,2.933423751061943,2.9306853990867334,3.13,2.3975810441547343,2.67886120865042,2.67886120865042,2.679602575772769,2.8,0.17396431113112998,0.2542177646188257,0.2545625424115232,0.25108282331396437
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.833353985528133,9.035362877244545,9.03590690713198,9.0313083507422,9.33,7.64379585928845,7.816730663476402,7.816730663476402,7.817994381389054,8.03,1.1895581262396826,1.2186322137681422,1.2191762436555784,1.2133139693531465
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,7.5866073535357605,7.391382109105346,7.418355344225433,7.3982444760090935,7.89,4.1716361266809425,4.4559833626191825,4.4559833626191825,4.449309898983514,4.54,3.414971226854818,2.9353987464861637,2.9623719816062506,2.9489345770255797
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.4063462994275073,3.8333810273457294,3.8338283006843556,3.830334939195449,3.97,3.124610614718999,3.4157912356491247,3.4157912356491247,3.4167316327790207,3.58,0.2817356847085084,0.4175897916966047,0.41803706503523097,0.4136033064164284
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.141987334748865,5.5996787593574595,5.600114481137337,5.596015787589949,5.63,4.954403460258619,5.288274212255072,5.288274212255072,5.289422601794292,5.37,0.1875838744902465,0.31140454710238785,0.311840268882265,0.3065931857956574
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.730340866763549,6.013689876051607,6.015194025669007,6.010530494184983,6.1,5.516394651875642,5.641748443308626,5.641748443308626,5.642549155732177,5.74,0.21394621488790655,0.37194143274298064,0.3734455823603806,0.3679813384528057
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.4589870903661453,3.8485230659854515,3.8489029044872844,3.8460660148937262,3.86,3.4170027438550354,3.6260405410910765,3.6260405410910765,3.626797186068875,3.77,0.04198434651110983,0.22248252489437492,0.2228623633962079,0.21926882882485144
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.666759035568987,5.007714269263622,5.00844564720709,5.0045944333657975,5.21,4.166152898636668,4.470605968667426,4.470605968667426,4.471519606548567,4.64,0.5006061369323191,0.5371083005961959,0.5378396785396635,0.5330748268172307
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.4548035258475254,1.7127400786473106,1.7139288111801283,1.7115126791039077,1.95,0.7338045720108446,0.9850179023287219,0.9850179023287219,0.9852272550546779,1.16,0.7209989538366808,0.7277221763185887,0.7289109088514064,0.7262854240492298
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.795359592668176,7.099307668449746,7.094465196269433,7.1036193969595045,7.12,5.111089613046471,5.34061440278634,5.34061440278634,5.339994181333775,5.52,1.684269979621705,1.758693265663406,1.7538507934830934,1.76362521562573
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.7331206368516257,2.0986380142785204,2.09907539774908,2.0976943604269045,2.2,1.5698734656312963,1.7603243048610835,1.7603243048610835,1.760562283030546,1.94,0.1632471712203294,0.3383137094174369,0.33875109288799643,0.3371320773963584
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.339688583392081,7.524228709579502,7.524287871114049,7.523060835948506,7.7,6.9674127229243625,7.1344926172800065,7.1344926172800065,7.134843659887598,7.33,0.37227586046771854,0.38973609229949524,0.3897952538340421,0.3882171760609081
