,excitation,UKS-OEP S,SS-KS-OEP S,OSS-KS-OEP S,STA-KS-OEP S,TBE S,UKS-OEP T,SS-KS-OEP T,OSS-KS-OEP T,STA-KS-OEP T,TBE T,UKS-OEP ST,SS-KS-OEP ST,OSS-KS-OEP ST,STA-KS-OEP ST,TBE ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.7808248115384813,4.155151550227075,4.15035277594838,4.155796701570425,4.31,3.5377923334950987,3.7769224493931977,3.7769224493931977,3.777516197411907,3.98,0.24303247804338257,0.37822910083387695,0.3734303265551824,0.3782805041585182,0.3299999999999996
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.399547279164448,6.601505677823569,6.591707558777429,6.594648301333706,6.66,6.102054923968022,6.209178596563795,6.209178596563795,6.2137635934401505,6.37,0.29749235519642614,0.3923270812597739,0.38252896221363386,0.38088470789355533,0.29000000000000004
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,7.9686499883085,7.961228673487141,7.90188373887645,7.977829212366843,8.48,5.887898169339573,6.093109271668789,6.093109271668789,6.097756258658913,6.28,2.0807518189689267,1.868119401818352,1.8087744672076607,1.8800729537079297,2.2
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,6.724955138117862,6.580607228867059,6.434377286854881,6.602994749201349,6.78,3.937003097169463,4.157413255537999,4.157413255537999,4.174107029732271,4.38,2.7879520409483987,2.4231939733290604,2.276964031316882,2.4288877194690777,2.4000000000000004
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.5720372244603285,2.8747487463881534,2.871215613389276,2.875372080540914,3.13,2.4021994964182074,2.6141181733293597,2.6141181733293597,2.6145187669593266,2.8,0.16983772804212105,0.26063057305879367,0.2570974400599164,0.26085331358158736,0.33000000000000007
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.861719754963067,9.016227744562268,9.009226150799401,9.018762928767247,9.33,7.697901173564084,7.8044352115548605,7.8044352115548605,7.804793859257647,8.03,1.1638185813989832,1.211792533007408,1.2047909392445408,1.2139690695095995,1.3000000000000007
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,7.5868346418065595,7.505222584503039,7.344636599713781,7.526497527474853,7.89,4.1813184746591565,4.3220730602660975,4.3220730602660975,4.33896911066335,4.54,3.405516167147403,3.183149524236941,3.0225635394476837,3.187528416811503,3.3499999999999996
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.4063038756832813,3.7595119321841897,3.7540533630437065,3.7601766710627644,3.97,3.134842640750837,3.336385707707309,3.336385707707309,3.337088728475395,3.58,0.2714612349324441,0.42312622447688053,0.4176676553363974,0.42308794258736926,0.3900000000000001
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.14314141869205,5.513327058692262,5.508252217405462,5.514065758783772,5.63,4.955836061296628,5.202641133145831,5.202641133145831,5.203272904600302,5.37,0.18730535739542198,0.31068592554643093,0.3056110842596311,0.3107928541834699,0.2599999999999998
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.740394746133956,6.000090927920518,5.9947724517771945,6.000913252353871,6.1,5.5298232492206765,5.611273065149201,5.611273065149201,5.611895718997861,5.74,0.21057149691327925,0.388817862771317,0.3834993866279932,0.38901753335600997,0.35999999999999943
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.4536371419636422,3.7870877953694615,3.7849367108650833,3.787279882518645,3.86,3.419622930054126,3.5731929472006603,3.5731929472006603,3.5734973493516837,3.77,0.034014211909516145,0.21389484816880122,0.21174376366442305,0.21378253316696139,0.08999999999999986
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.674481870262853,4.954272776200342,4.943192452310896,4.955509113029534,5.21,4.172004514197408,4.385491640960799,4.385491640960799,4.387023373545079,4.64,0.5024773560654454,0.5687811352395427,0.557700811350097,0.5684857394844549,0.5700000000000003
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.4567857032443556,1.66410392235059,1.6547395014117605,1.6656790307814813,1.95,0.723046417650751,0.9213468098102898,0.9213468098102898,0.9223981546253996,1.16,0.7337392855936047,0.7427571125403002,0.7333926916014707,0.7432808761560816,0.79
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.797106049727217,7.020422947618657,6.895170845891652,7.035587425140594,7.12,5.110620892614367,5.275089017769866,5.275089017769866,5.293406370505391,5.52,1.68648515711285,1.7453339298487913,1.6200818281217861,1.7421810546352035,1.6000000000000005
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.7289097636286481,2.067827657434299,2.0619734729938304,2.0684777934653202,2.2,1.580823316950672,1.733074108994337,1.733074108994337,1.7338664010341813,1.94,0.1480864466779761,0.33475354843996197,0.3288993639994935,0.3346113924311389,0.26000000000000023
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.3513014663085166,7.483743743762427,7.469320440702147,7.4818528901815124,7.7,6.973398147508065,7.072306256366798,7.072306256366798,7.075447899335733,7.33,0.3779033188004517,0.411437487395629,0.3970141843353492,0.40640499084577986,0.3700000000000001
