,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T,UKS ST,pa-SS-KS ST,pa-OSS-KS ST,pa-STA-KS ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,4.1743883742382994,4.265514708103531,4.265691079083664,4.2655448167274415,4.31,3.74548551925298,3.806994138142786,3.806994138142786,3.8069537821468793,3.98,0.4289028549853193,0.45852056996074486,0.4586969409408783,0.45859103458056216
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.632195784129446,6.71603417532506,6.717484624336839,6.716125702796243,6.66,6.36302472382435,6.415947665933792,6.415947665933792,6.4156786923871625,6.37,0.2691710603050961,0.30008650939126813,0.3015369584030472,0.30044701040908084
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,7.772745809910675,7.735448038328288,7.736689581362352,7.734686762262653,8.48,6.037695569387965,6.170558254521943,6.170558254521943,6.170569061306424,6.28,1.7350502405227104,1.5648897838063451,1.5661313268404093,1.5641177009562286
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,5.643150383695383,5.582563438019729,5.588992464540126,5.584563774985561,6.78,4.294342854410967,4.378099047062752,4.378099047062752,4.3763341439469565,4.38,1.3488075292844162,1.2044643909569777,1.210893417477374,1.2082296310386047
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),3.25058700168051,3.337238912552348,3.337562353350463,3.337223072830432,3.13,2.9554087115948064,3.0110595932461264,3.0110595932461264,3.011011684027367,2.8,0.2951782900857034,0.3261793193062217,0.32650276010433643,0.3262113888030651
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.748936294933738,8.763477679894342,8.764578069758581,8.764112077701421,9.33,7.56698816490589,7.616380888410951,7.616380888410951,7.615992939434644,8.03,1.1819481300278483,1.1470967914833903,1.14819718134763,1.148119138266777
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,6.525814969685026,6.4638650156089845,6.480026858954738,6.467282851572375,7.89,4.788666480376485,4.86833750362021,4.86833750362021,4.864499311934941,4.54,1.7371484893085407,1.5955275119887746,1.6116893553345282,1.602783539637434
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.765274405186898,3.8588195616177914,3.8591667421731985,3.859012170398366,3.97,3.2851402540357357,3.3402214482714427,3.3402214482714427,3.34009940489791,3.58,0.4801341511511623,0.5185981133463486,0.5189452939017558,0.5189127655004562
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.629805094428749,5.730190721060498,5.730284632121554,5.730302973841976,5.63,5.2835731601198255,5.346408620905288,5.346408620905288,5.346355954742658,5.37,0.34623193430892396,0.3837821001552095,0.383876011216266,0.3839470190993177
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,6.071157700306746,6.16335738649073,6.1647223962450655,6.163514786337245,6.1,5.732269728634842,5.762455309845784,5.762455309845784,5.762175593154212,5.74,0.33888797167190443,0.4009020766449458,0.40226708639928166,0.40133919318303324
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.9722087255343452,4.087092579950808,4.087359180653495,4.086831269322214,3.86,3.772273821484993,3.8106819046666334,3.8106819046666334,3.8107251253490384,3.77,0.1999349040493521,0.27641067528417507,0.27667727598686165,0.276106143973176
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.800471840398828,4.871268831137844,4.8717341285846505,4.871017335197957,5.21,4.2347358553050025,4.303261286877755,4.303261286877755,4.3032672884229735,4.64,0.5657359850938253,0.5680075442600883,0.5684728417068952,0.5677500467749832
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.7633758163521562,1.7918616361106134,1.792482106872311,1.792116145572131,1.95,0.964408860843477,1.0284567179206658,1.0284567179206658,1.0282839022505355,1.16,0.7989669555086792,0.7634049181899476,0.7640253889516451,0.7638322433215956
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.149863886740482,6.215347092875618,6.2144728381938945,6.21682988836156,7.12,5.361118705415238,5.417984815999181,5.417984815999181,5.417636517709288,5.52,0.7887451813252442,0.797362276876437,0.7964880221947137,0.7991933706522723
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,2.1303898559910177,2.2347425645554857,2.234899435856463,2.2349481844588386,2.2,1.8307602617865588,1.8691060287215073,1.8691060287215073,1.8690112169126203,1.94,0.2996295942044589,0.36563653583397837,0.36579340713495556,0.3659369675462183
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.770749544454687,7.847115897378395,7.848532212092418,7.847356179398051,7.7,7.406748552833639,7.460275898241382,7.460275898241382,7.459962160706708,7.33,0.36400099162104826,0.3868399991370133,0.388256313851036,0.38739401869134227
