,excitation,UKS-OEP S,SS-KS-OEP S,OSS-KS-OEP S,STA-KS-OEP S,TBE S,UKS-OEP T,SS-KS-OEP T,OSS-KS-OEP T,STA-KS-OEP T,TBE T,UKS-OEP ST,SS-KS-OEP ST,OSS-KS-OEP ST,STA-KS-OEP ST,TBE ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,4.173894763513209,4.259574379914378,4.254711363203575,4.260250934671649,4.31,3.7442914888904704,3.8031061905745385,3.8031061905745385,3.803708024338433,3.98,0.4296032746227385,0.45646818933983946,0.45160517262903666,0.4565429103332157,0.3299999999999996
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.634063334081443,6.737282890780043,6.732113570653505,6.733550001699644,6.66,6.364275098208106,6.4102017294814475,6.4102017294814475,6.412556381137752,6.37,0.269788235873337,0.32708116129859555,0.3219118411720574,0.3209936205618922,0.29000000000000004
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,7.772803254274698,7.743516963959446,7.705263830364362,7.748158281604361,8.48,6.0384563702173715,6.135954176696154,6.135954176696154,6.140945343280755,6.28,1.7343468840573264,1.6075627872632925,1.569309653668208,1.607212938323606,2.2
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,5.639588264376296,5.588143526413957,5.551603401239243,5.594714252559987,6.78,4.294357328784546,4.366987647169762,4.366987647169762,4.370886261183872,4.38,1.3452309355917498,1.2211558792441952,1.1846157540694806,1.2238279913761145,2.4000000000000004
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),3.2535654358766397,3.3323384014053037,3.328148275929183,3.332965918906941,3.13,2.9553619629225594,3.0058282172543316,3.0058282172543316,3.0063366247579677,2.8,0.29820347295408034,0.3265101841509721,0.3223200586748516,0.32662929414897324,0.33000000000000007
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.748522243436618,8.76425036406874,8.760009175071229,8.764664848012492,9.33,7.567163426518893,7.611550493611031,7.611550493611031,7.612107119499426,8.03,1.181358816917725,1.1526998704577087,1.1484586814601974,1.1525577285130657,1.3000000000000007
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,6.522439889076929,6.477870409578192,6.442082113797474,6.48354422827958,7.89,4.791796763773349,4.85125128589802,4.85125128589802,4.855093641936823,4.54,1.7306431253035797,1.6266191236801717,1.5908308278994534,1.6284505863427574,3.3499999999999996
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.7640897918375082,3.8506462566311197,3.8452110479470356,3.8512837415552776,3.97,3.2840915547642453,3.331890366109905,3.331890366109905,3.332594710641679,3.58,0.47999823707326295,0.5187558905212146,0.5133206818371305,0.5186890309135985,0.3900000000000001
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.628991874373844,5.71952831321146,5.714279238346302,5.720337191649265,5.63,5.281475908328452,5.338378199815412,5.338378199815412,5.339007898864182,5.37,0.3475159660453917,0.381150113396048,0.3759010385308903,0.3813292927850833,0.2599999999999998
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,6.076487040946024,6.172142348735873,6.1678124331954205,6.172596808087321,6.1,5.736070422019217,5.760384198177663,5.760384198177663,5.760953957953612,5.74,0.34041661892680697,0.4117581505582102,0.4074282350177576,0.4116428501337088,0.35999999999999943
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.971994477034791,4.07835656917174,4.076287833700229,4.078638305869989,3.86,3.7725668926246314,3.8075471325634744,3.8075471325634744,3.8078034586729976,3.77,0.1994275844101594,0.27080943660826584,0.2687407011367542,0.270834847196991,0.08999999999999986
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.799200678881167,4.8648138081537695,4.8569080470034995,4.865801784632654,5.21,4.233672463131902,4.29098284586307,4.29098284586307,4.292018020763214,4.64,0.5655282157492652,0.5738309622906996,0.5659252011404297,0.5737837638694403,0.5700000000000003
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.7628997835090465,1.7899470829394226,1.784652963790264,1.7909621139483112,1.95,0.962998888113652,1.0261171695894198,1.0261171695894198,1.026653711197487,1.16,0.7999008953953946,0.7638299133500028,0.7585357942008442,0.7643084027508242,0.79
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.150218286119973,6.20419618768278,6.1834410164490805,6.2069427846195815,7.12,5.361324977105316,5.4156994496605915,5.4156994496605915,5.418370579533541,5.52,0.7888933090146564,0.7884967380221886,0.767741566788489,0.7885722050860409,1.6000000000000005
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,2.126582165876712,2.2298851208991834,2.225465891162804,2.230374464226749,2.2,1.833249372146211,1.8673896695748624,1.8673896695748624,1.8679770298901577,1.94,0.2933327937305008,0.36249545132432104,0.3580762215879414,0.3623974343365912,0.26000000000000023
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.772617355951304,7.853376988607068,7.842321125857093,7.851523579680538,7.7,7.408441803242527,7.4505358254001735,7.4505358254001735,7.453043862132463,7.33,0.3641755527087769,0.40284116320689467,0.3917853004569194,0.3984797175480743,0.3700000000000001
