,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T,UKS ST,pa-SS-KS ST,pa-OSS-KS ST,pa-STA-KS ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.908734380366596,4.091689651526777,4.092296647514918,4.090562063775355,4.31,3.6357458660318374,3.739647658836386,3.739647658836386,3.739920990695384,3.98,0.27298851433475857,0.35204199269039105,0.3526489886785322,0.35064107307997094
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.422162568611133,6.5727864340117845,6.57413849498938,6.575884640581959,6.66,6.135377191961168,6.226332855270335,6.226332855270335,6.225101072410332,6.37,0.2867853766499655,0.3464535787414498,0.347805639719045,0.3507835681716269
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,7.524741131760473,7.5411248012269105,7.542145387237724,7.528884028468108,8.48,5.930602221025148,6.09962853248482,6.09962853248482,6.103504830756587,6.28,1.5941389107353254,1.4414962687420907,1.4425168547529044,1.4253791977115204
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,5.8854813483049675,5.779687203033004,5.797167428485484,5.7842078470378695,6.78,4.077871461919995,4.237576327399568,4.237576327399568,4.233065108639832,4.38,1.8076098863849728,1.542110875633436,1.5595911010859167,1.5511427383980374
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.9295342979204273,3.0951184060520958,3.0956694484784206,3.0940006340760005,3.13,2.7511381603791065,2.850213634591951,2.850213634591951,2.850495198554084,2.8,0.17839613754132078,0.24490477146014467,0.24545581388646953,0.2435054355219166
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.473375781493106,8.552535303050384,8.553928998950413,8.551504782400468,9.33,7.508532635796524,7.566866317147802,7.566866317147802,7.566977072086865,8.03,0.964843145696582,0.9856689859025813,0.9870626818026107,0.9845277103136025
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,6.732286134526107,6.628049091533141,6.6688756826500235,6.636520289880525,7.89,4.452919116159373,4.6057691611846625,4.6057691611846625,4.596302660875088,4.54,2.2793670183667336,2.0222799303484784,2.063106521465361,2.0402176290054372
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.5350008432262094,3.7211527090274847,3.7219803248620735,3.7197644058232635,3.97,3.2276594205108715,3.321387903410567,3.321387903410567,3.3217129686055076,3.58,0.30734142271533793,0.39976480561691785,0.40059242145150664,0.39805143721775593
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.365392406199215,5.550841556865538,5.551445110917123,5.549592331662102,5.63,5.149181233101166,5.257918323237155,5.257918323237155,5.258234442709346,5.37,0.21621117309804827,0.29292323362838246,0.2935267876799674,0.2913578889527555
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.704155788562538,5.895812378317453,5.898488436954691,5.893354877086152,6.1,5.469964785285392,5.5316887976845415,5.5316887976845415,5.532062909648642,5.74,0.2341910032771457,0.3641235806329117,0.36679963927014914,0.36129196743751013
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.64790023570267,3.8487035896045123,3.8492343075264426,3.847389492169076,3.86,3.560985242117997,3.642627746311943,3.642627746311943,3.6429778105329502,3.77,0.08691499358467336,0.20607584329256934,0.2066065612144996,0.20441168163612566
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.65019999183381,4.806150094067581,4.807534709883033,4.804038711626988,5.21,4.212452831156747,4.32370392622302,4.32370392622302,4.324175346672785,4.64,0.43774716067706354,0.48244616784456085,0.48383078366001264,0.4798633649542028
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.5176184975842724,1.6187913467028419,1.620484794939084,1.6180101333505588,1.95,0.8962279941525546,0.9834754812007648,0.9834754812007648,0.9834517374666775,1.16,0.6213905034317178,0.6353158655020771,0.6370093137383191,0.6345583958838813
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.083662117618554,6.198958562971204,6.196534497340689,6.2026558457895975,7.12,5.155590311250625,5.257041788931822,5.257041788931822,5.256214693085162,5.52,0.928071806367929,0.9419167740393819,0.9394927084088671,0.9464411527044359
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.9211856138447336,2.1180864742479697,2.1189243123780113,2.117587144216385,2.2,1.7221243665982962,1.8045597658763972,1.8045597658763972,1.8045854765568845,1.94,0.19906124724643748,0.3135267083715725,0.31436454650161405,0.31300166765950044
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.435812736842846,7.574398465345895,7.575797193725122,7.574751873102928,7.7,7.0811559009137195,7.167735492535558,7.167735492535558,7.167380052892895,7.33,0.3546568359291262,0.40666297281033703,0.4080617011895642,0.4073718202100327
