,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T,UKS ST,pa-SS-KS ST,pa-OSS-KS ST,pa-STA-KS ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.823913352102958,4.205314428614163,4.205729463504824,4.203245203040234,4.31,3.5616087119860254,3.830295618527297,3.830295618527297,3.830912130472784,3.98,0.26230464011693266,0.3750188100868663,0.37543384497752674,0.3723330725674505
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.411883094753777,6.589111790623494,6.589150992007144,6.591703847082031,6.66,6.120767170701595,6.260172102405327,6.260172102405327,6.259273959832261,6.37,0.2911159240521819,0.328939688218167,0.3289788896018173,0.33242988724976996
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,7.903316287136084,7.924777983912729,7.924197368724344,7.9069591905319925,8.48,5.917705096824097,6.201432384365595,6.201432384365595,6.207475970024194,6.28,1.985611190311987,1.7233455995471338,1.722764984358749,1.6994832205077985
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,6.564839184049543,6.353782568716702,6.368684413925242,6.359212964265164,6.78,3.9673805003944844,4.272721199930884,4.272721199930884,4.268369698775038,4.38,2.5974586836550584,2.081061368785818,2.0959632139943576,2.0908432654901263
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.6557595125256723,2.9710304953797646,2.9713949406441955,2.968988529142305,3.13,2.478792796988119,2.7171284679380387,2.7171284679380387,2.717748667067345,2.8,0.1769667155375534,0.25390202744172585,0.25426647270615677,0.25123986207495985
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.800511997999342,8.963681913084741,8.964428202511987,8.960989839220721,9.33,7.678175668362359,7.819096264490145,7.819096264490145,7.819870051349547,8.03,1.1223363296369833,1.144585648594596,1.145331938021842,1.1411197878711743
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,7.423502059588622,7.247597760422269,7.278816035018976,7.25609640540719,7.89,4.239515422255011,4.494413896228271,4.494413896228271,4.486471885752773,4.54,3.1839866373336108,2.753183864193998,2.784402138790705,2.7696245196544167
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.449835335089171,3.8149352284203553,3.815467437178521,3.8123781116389672,3.97,3.1530632238586778,3.39571642656213,3.39571642656213,3.3964801261344624,3.58,0.2967721112304931,0.41921880185822546,0.4197510106163911,0.41589798550450485
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.203499173572334,5.595414386141208,5.595871401187169,5.592436604980836,5.63,5.003242847276017,5.283672870264567,5.283672870264567,5.284591068826029,5.37,0.2002563262963175,0.31174151587664056,0.3121985309226014,0.30784553615480714
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.73787014691397,6.001370528785519,6.003113507702315,5.998897815153465,6.1,5.516579416993566,5.630575338870634,5.630575338870634,5.631108575678912,5.74,0.22129072992040388,0.3707951899148849,0.37253816883168067,0.3677892394745532
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.5124320292952125,3.8568246679803595,3.857241431710133,3.8547043289206604,3.86,3.456636935131133,3.635489998334892,3.635489998334892,3.636127446052587,3.77,0.05579509416407946,0.22133466964546766,0.22175143337524128,0.21857688286807342
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.68135654816627,4.975859412372256,4.976755685015462,4.973063298809027,5.21,4.187147982974658,4.44610051875772,4.44610051875772,4.44688181927079,4.64,0.49420856519161216,0.5297588936145363,0.5306551662577421,0.5261814795382369
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.4797212493951741,1.6937704937318516,1.6950272495193361,1.6927104153005275,1.95,0.7647540095348897,0.9775265335963768,0.9775265335963768,0.9776668093393095,1.16,0.7149672398602844,0.7162439601354749,0.7175007159229594,0.715043605961218
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.677326140534767,6.934941405393728,6.930703255862139,6.938907698080451,7.12,5.127829203379033,5.324740911840496,5.324740911840496,5.324127837335049,5.52,1.5494969371557339,1.610200493553232,1.605962344021643,1.6147798607454016
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.7791684408554382,2.105931824178319,2.1064298397857275,2.1052066274001695,2.2,1.60481984529611,1.7694637862698317,1.7694637862698317,1.7696218989215788,1.94,0.17434859555932825,0.3364680379084872,0.3369660535158958,0.33558472847859067
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.369619147169034,7.536011189413765,7.536177100438181,7.535290113502336,7.7,7.004745046425937,7.153724621586782,7.153724621586782,7.153921315523747,7.33,0.3648741007430978,0.38228656782698334,0.3824524788513992,0.38136879797858914
