,excitation,UKS-OEP S,SS-KS-OEP S,OSS-KS-OEP S,STA-KS-OEP S,TBE S,UKS-OEP T,SS-KS-OEP T,OSS-KS-OEP T,STA-KS-OEP T,TBE T,UKS-OEP ST,SS-KS-OEP ST,OSS-KS-OEP ST,STA-KS-OEP ST,TBE ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.824020001727875,4.147227226778857,4.142621154917929,4.147841661213466,4.31,3.565673741921232,3.7693286922285156,3.7693286922285156,3.769906632306409,3.98,0.2583462598066433,0.3778985345503414,0.37329246268941363,0.37793502890705666,0.3299999999999996
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.414924035511004,6.60814369372609,6.5987803000736465,6.60105957525979,6.66,6.126564339262378,6.2295188379353545,6.2295188379353545,6.234174537401922,6.37,0.2883596962486257,0.37862485579073546,0.3692614621382919,0.36688503785786786,0.29000000000000004
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,7.895127000920278,7.8888580161836765,7.833461008985942,7.9044843124332225,8.48,5.907245179662378,6.095944499426266,6.095944499426266,6.100260486398136,6.28,1.9878818212578997,1.7929135167574106,1.7375165095596765,1.804223826035087,2.2
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,6.557634956899179,6.429232038831816,6.303609894668732,6.447355007159605,6.78,3.980886054154689,4.178360669248661,4.178360669248661,4.193419182873598,4.38,2.5767489027444896,2.2508713695831553,2.125249225420071,2.2539358242860077,2.4000000000000004
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.657028616344502,2.923706091960667,2.9202632276928147,2.92429198676685,3.13,2.4820416785006176,2.6641587390399883,2.6641587390399883,2.6645530230074606,2.8,0.17498693784388442,0.2595473529206789,0.2561044886528263,0.25973896375938965,0.33000000000000007
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.807443290957401,8.94051295805189,8.933849936206062,8.942927617308873,9.33,7.674357286773985,7.766697917474077,7.766697917474077,7.7670026902075175,8.03,1.1330860041834168,1.1738150405778134,1.1671520187319855,1.1759249271013559,1.3000000000000007
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,7.4234914486740315,7.344568633158599,7.211342475812672,7.361983049877221,7.89,4.248547407023369,4.381665332763213,4.381665332763213,4.396033895411389,4.54,3.1749440416506625,2.9629033003953857,2.8296771430494587,2.9659491544658323,3.3499999999999996
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.447980072660453,3.756004204529649,3.7507161649066894,3.7566313905025845,3.97,3.160351029762758,3.331764294628267,3.331764294628267,3.332449278145106,3.58,0.2876290428976951,0.4242399099013823,0.4189518702784225,0.4241821123574785,0.3900000000000001
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.2041357879296095,5.525830031069572,5.520889213398347,5.526545243863731,5.63,5.003750009059203,5.214379155641037,5.214379155641037,5.214992447068948,5.37,0.2003857788704062,0.3114508754285348,0.30651005775731033,0.31155279679478287,0.2599999999999998
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.747323290934026,5.99177192326853,5.986483462084854,5.9925164890175235,6.1,5.529182211161301,5.6043435229532825,5.6043435229532825,5.6049850846084714,5.74,0.21814107977272457,0.3874284003152475,0.3821399391315712,0.3875314044090521,0.35999999999999943
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.5088640952118673,3.806099869076264,3.8039960324958075,3.8063093508894967,3.86,3.4587246109365997,3.5928985282866464,3.5928985282866464,3.5931857826821365,3.77,0.0501394842752676,0.2132013407896176,0.21109750420916118,0.21312356820736023,0.08999999999999986
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.6875185384012354,4.933086383419732,4.922843658039509,4.934173862274018,5.21,4.191612336024355,4.376136582074969,4.376136582074969,4.377565351129986,4.64,0.4959062023768803,0.5569498013447625,0.54670707596454,0.5566085111440318,0.5700000000000003
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.4813229814028637,1.6583776698251078,1.6499323430602308,1.6597751071184983,1.95,0.7568019457220226,0.9290405653460567,0.9290405653460567,0.9300034831856266,1.16,0.724521035680841,0.7293371044790511,0.7208917777141741,0.7297716239328716,0.79
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.678772285877592,6.870605489336318,6.766554581033507,6.883189354650367,7.12,5.127624075377012,5.273559756469889,5.273559756469889,5.2885519413784525,5.52,1.55114821050058,1.5970457328664294,1.4929948245636178,1.594637413271914,1.6000000000000005
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.775423957064357,2.0798245482594617,2.0741707866195545,2.080459507846388,2.2,1.613385355006972,1.7471436743307511,1.7471436743307511,1.7479026355964735,1.94,0.16203860205738496,0.3326808739287106,0.3270271122888033,0.33255687224991437,0.26000000000000023
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.381352670210082,7.506069418519358,7.491909483684416,7.504200501271616,7.7,7.011097097011846,7.1021984394670135,7.1021984394670135,7.1052708947097925,7.33,0.37025557319823577,0.4038709790523445,0.3897110442174023,0.39892960656182375,0.3700000000000001
