,excitation,UKS-OEP S,SS-KS-OEP S,OSS-KS-OEP S,STA-KS-OEP S,TBE S,UKS-OEP T,SS-KS-OEP T,OSS-KS-OEP T,STA-KS-OEP T,TBE T,UKS-OEP ST,SS-KS-OEP ST,OSS-KS-OEP ST,STA-KS-OEP ST,TBE ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.908315362303985,4.077056553134215,4.073392243836594,4.0774873031042125,4.31,3.6362337504481186,3.7304810133888395,3.7304810133888395,3.7309596238460085,3.98,0.27208161185586643,0.34657553974537514,0.3429112304477542,0.34652767925820394,0.3299999999999996
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.428429108665108,6.580003699170054,6.57181623412081,6.574471615286842,6.66,6.139598254643201,6.219655267549464,6.219655267549464,6.223539083966003,6.37,0.28883085402190734,0.36034843162059005,0.3521609665713461,0.3509325313208391,0.29000000000000004
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,7.712192739170289,7.709646539518218,7.6594557607093945,7.71550650814834,8.48,5.968016078680976,6.100919323249964,6.100919323249964,6.107691153364538,6.28,1.7441766604893134,1.608727216268254,1.5585364374594306,1.6078153547838019,2.2
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,5.882966053166263,5.798964875849433,5.737721625216407,5.807811707681192,6.78,4.082268818644489,4.212265797130594,4.212265797130594,4.219424100799765,4.38,1.800697234521774,1.5866990787188389,1.5254558280858133,1.5883876068814269,2.4000000000000004
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.9329182091032737,3.084352987236096,3.081443164484355,3.084799614963552,3.13,2.751398814876818,2.8423577542773697,2.8423577542773697,2.8427054623164443,2.8,0.1815193942264557,0.24199523295872627,0.23908541020698548,0.24209415264710765,0.33000000000000007
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.563669500225108,8.640359458705095,8.635289947682606,8.640830339818923,9.33,7.542466799576734,7.595653273131396,7.595653273131396,7.596338606200896,8.03,1.0212027006483746,1.0447061855736992,1.0396366745512102,1.0444917336180266,1.3000000000000007
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,6.730948843663896,6.657921802757733,6.597189468190648,6.665875563364886,7.89,4.458591437089497,4.570258418234754,4.570258418234754,4.5770206703939715,4.54,2.2723574065743986,2.087663384522979,2.026931049955894,2.0888548929709145,3.3499999999999996
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.5348062479114724,3.7035431956991434,3.6993770003652937,3.703972756082439,3.97,3.2272410400656253,3.309095695074252,3.309095695074252,3.309654481191934,3.58,0.30756520784584707,0.3944475006248913,0.39028130529104166,0.3943182748905052,0.3900000000000001
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.366344356587781,5.532226964404825,5.528286856212546,5.532719003448432,5.63,5.148425042142292,5.245622114921481,5.245622114921481,5.246133346376154,5.37,0.2179193144454894,0.28660484948334375,0.28266474129106456,0.286585657072278,0.2599999999999998
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.710388742311687,5.8964856379501,5.891650350519656,5.896958295517073,6.1,5.4798733530458135,5.533340736724067,5.533340736724067,5.533996268371234,5.74,0.23051538926587334,0.3631449012260335,0.3583096137955897,0.3629620271458389,0.35999999999999943
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.649027593161957,3.831106821635849,3.82925095922817,3.8313167318245633,3.86,3.5624359263700884,3.634391149947987,3.634391149947987,3.634635644931342,3.77,0.0865916667918687,0.19671567168786197,0.19485980928018298,0.1966810868932214,0.08999999999999986
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.652261824546691,4.791060057335871,4.784007025460693,4.791884564183332,5.21,4.212797916608872,4.306926253238973,4.306926253238973,4.307873905533987,4.64,0.4394639079378191,0.4841338040968983,0.4770807722217203,0.48401065864934445,0.5700000000000003
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.5181367810155388,1.6140640482928534,1.6088620429952434,1.61488593958352,1.95,0.8955147251346695,0.9795706240747573,0.9795706240747573,0.9801693871670343,1.16,0.6226220558808694,0.6344934242180962,0.6292914189204861,0.6347165524164857,0.79
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.0851784179704955,6.180228078948089,6.145640434313129,6.18443106381704,7.12,5.156022482667131,5.249029802937379,5.249029802937379,5.25374460110657,5.52,0.9291559353033643,0.9311982760107096,0.8966106313757498,0.9306864627104696,1.6000000000000005
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.9189497463429517,2.105867766293608,2.1012109768189418,2.106359135147567,2.2,1.7240712926573931,1.7989795823430443,1.7989795823430443,1.7996122828585455,1.94,0.19487845368555856,0.3068881839505637,0.3022313944758974,0.3067468522890213,0.26000000000000023
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.444701331360652,7.552500880221466,7.539925891717237,7.550846157242469,7.7,7.085960070011191,7.155995048300475,7.155995048300475,7.158699458499409,7.33,0.3587412613494614,0.3965058319209911,0.38393084341676254,0.3921466987430602,0.3700000000000001
