,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T,UKS ST,pa-SS-KS ST,pa-OSS-KS ST,pa-STA-KS ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.762172348371953,4.148284690842094,4.14913672559036,4.146309568748228,4.31,3.469043877747837,3.713832274321964,3.713832274321964,3.7143557915520446,3.98,0.29312847062411596,0.4344524165201302,0.4353044512683959,0.431953777196183
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.3953494481676625,6.57787180885555,6.614639213029609,6.633445835924166,6.66,6.0802572417462795,6.323885858623683,6.323885858623683,6.300037862430941,6.37,0.315092206421383,0.25398595023186665,0.2907533544059264,0.33340797349322493
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,8.203163101067876,8.247450960853952,8.264029172755823,8.233100560632856,8.48,5.94793423193524,6.270178476476948,6.270178476476948,6.271467586895588,6.28,2.255228869132636,1.9772724843770035,1.9938506962788747,1.9616329737372684
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,6.501327225700881,6.322186092127893,6.351389215173588,6.328282112592796,6.78,3.7936211186831876,4.114348406601315,4.114348406601315,4.107111482202163,4.38,2.7077061070176933,2.207837685526578,2.2370408085722726,2.221170630390633
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.6382440077733804,2.9872684536642664,2.9929894357351285,2.981049789302012,3.13,2.5048302901790396,2.7296606499400737,2.7296606499400737,2.7310697066947043,2.8,0.13341371759434084,0.2576078037241927,0.2633287857950548,0.24998008260730753
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.91930030967752,9.124286583286299,9.136549446910617,9.117363911988251,9.33,7.733633020112515,7.84879884211565,7.84879884211565,7.849030420320301,8.03,1.1856672895650053,1.2754877411706493,1.2877506047949678,1.26833349166795
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,7.425449945190159,7.278611455384208,7.338532491088768,7.287157097857857,7.89,4.1104147001047036,4.388501832147868,4.388501832147868,4.376174230446106,4.54,3.315035245085456,2.8901096232363406,2.9500306589409,2.91098286741175
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.3743908876249575,3.75569416772596,3.7561217254683794,3.7529317174106422,3.97,3.035363805658407,3.2582300052978512,3.2582300052978512,3.259094395868638,3.58,0.3390270819665506,0.49746416242810865,0.4978917201705282,0.4938373215420042
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.231536457214501,5.614193620182012,5.615660958522644,5.612462898575066,5.63,4.992281917839844,5.249115595857302,5.249115595857302,5.249469685326014,5.37,0.2392545393746568,0.3650780243247098,0.36654536266534166,0.36299321324905165
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.6263471914111856,5.989165184811312,6.009079039661354,5.987108526822279,6.1,5.465643692081878,5.5929185275077025,5.5929185275077025,5.591785276605961,5.74,0.1607034993293075,0.3962466573036094,0.4161605121536516,0.3953232502163182
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.42951749425338,3.8124923187682493,3.820092574965711,3.807075571876404,3.86,3.3995924206531987,3.591989821298175,3.591989821298175,3.5930516806250234,3.77,0.029925073600181484,0.22050249747007422,0.22810275366753574,0.21402389125138077
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.572446903624415,4.901285328980763,4.904980289818275,4.899039796388746,5.21,4.079574428235004,4.326324572055878,4.326324572055878,4.326458289986502,4.64,0.4928724753894107,0.5749607569248854,0.5786557177623974,0.5725815064022441
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.443031935460083,1.676638151525557,1.6844394787008736,1.6720368764445046,1.95,0.6781766451090216,0.8680216446512443,0.8680216446512443,0.8682967484189226,1.16,0.7648552903510613,0.8086165068743127,0.8164178340496293,0.803740128025582
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.32531025653301,6.568959965440794,6.5506181239579355,6.582837147425664,7.12,5.046685283922683,5.262439424696364,5.262439424696364,5.260969811725156,5.52,1.2786249726103271,1.3065205407444305,1.2881786992615716,1.3218673357005084
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.718109048270006,2.1022583771998846,2.1036673037032796,2.0997437381054427,2.2,1.5155242114808525,1.7004635282689622,1.7004635282689622,1.701068906365298,1.94,0.20258483678915362,0.40179484893092243,0.4032037754343174,0.39867483174014473
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.353547833165825,7.534236355015014,7.545848004026921,7.56219298241087,7.7,6.96861146411787,7.19466887325441,7.19466887325441,7.183507440445824,7.33,0.3849363690479555,0.3395674817606036,0.35117913077251117,0.3786855419650452
