,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S,UKS T,pa-SS-KS T,pa-OSS-KS T,pa-STA-KS T,TBE T,UKS ST,pa-SS-KS ST,pa-OSS-KS ST,pa-STA-KS ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.6449975040643787,4.213604399167178,4.214020349255771,4.208979210475935,4.31,3.3791002914448227,3.786678236948702,3.786678236948702,3.7881529831697045,3.98,0.265897212619556,0.42692616221847546,0.4273421123070684,0.4208262273062302
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.345571843116614,6.557128973686075,6.586895673270091,6.595542647189409,6.66,6.038511278470004,6.323695385323385,6.323695385323385,6.306172717556317,6.37,0.30706056464661025,0.2334335883626908,0.2632002879467068,0.28936992963309205
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,8.326571234322284,8.34285647874413,8.367657620052507,8.339580586928193,8.48,5.870831744914989,6.279143688984864,6.279143688984864,6.275161256745098,6.28,2.4557394894072946,2.0637127897592658,2.0885139310676424,2.064419330183095
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,6.953502552688649,6.673108552105965,6.698601875712747,6.680597110985482,6.78,3.719181864586354,4.16798982271039,4.16798982271039,4.161017431607445,4.38,3.234320688102295,2.5051187293955754,2.530612053002357,2.5195796793780367
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.391960194126143,2.874177185036884,2.880277581673382,2.8597920986933207,3.13,2.255047099862732,2.608562081081983,2.608562081081983,2.6126195428933454,2.8,0.1369130942634107,0.26561510395490107,0.27171550059139893,0.24717255579997532
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,9.032730490225886,9.301885096084952,9.312424508916306,9.298666320914077,9.33,7.776188104286546,7.970588115705038,7.970588115705038,7.969876940335681,8.03,1.2565423859393396,1.3312969803799142,1.3418363932112687,1.328789380578396
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,7.864772529474936,7.651463690673698,7.691251532823684,7.656724486151977,7.89,3.969605096440898,4.3262009541694635,4.3262009541694635,4.317914957282609,4.54,3.8951674330340382,3.325262736504235,3.3650505786542206,3.338809528869368
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.2627118002690954,3.8051401470458623,3.8051318174540305,3.7972248985870993,3.97,2.9537899181787597,3.3223420815295195,3.3223420815295195,3.3249930028554324,3.58,0.30892188209033566,0.48279806551634286,0.482789735924511,0.4722318957316669
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.0417384566459225,5.615078889139908,5.615957823348712,5.610024929384839,5.63,4.831740081694255,5.258995487911308,5.258995487911308,5.26054958562729,5.37,0.20999837495166762,0.3560834012285996,0.3569623354374034,0.3494753437575495
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.623786893052635,6.0472462434712115,6.074387349170783,6.0131467911486185,6.1,5.473166163842491,5.631586549568986,5.631586549568986,5.640337458460616,5.74,0.1506207292101447,0.41565969390222524,0.4428007996017964,0.37280933268800265
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.307242304464797,3.806277012825225,3.8160118969433716,3.791856797832139,3.86,3.2984524105504964,3.5737926282673564,3.5737926282673564,3.5775844373689867,3.77,0.008789893914300517,0.23248438455786857,0.24221926867601518,0.21427236046315246
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.550329781059749,4.995391243102184,4.997461126328263,4.990694551553086,5.21,4.026206843189425,4.411640236275695,4.411640236275695,4.412859055630433,4.64,0.5241229378703238,0.5837510068264891,0.5858208900525677,0.5778354959226535
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.37453941804002,1.7193087850728195,1.724988221284971,1.7139288880756502,1.95,0.5712465334930756,0.8864436652215263,0.8864436652215263,0.8873203002908829,1.16,0.8032928845469443,0.8328651198512932,0.8385445560634447,0.8266085877847673
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.794801062704168,7.1733452154822,7.152986575660186,7.185309305911724,7.12,5.00906978070174,5.309037696210549,5.309037696210549,5.308516187909815,5.52,1.7857312820024278,1.8643075192716516,1.8439488794496368,1.8767931180019088
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.5878642532327913,2.0658237971081648,2.06648399491661,2.06074440726787,2.2,1.4179031519304848,1.6724091927520726,1.6724091927520726,1.6739929893645713,1.94,0.16996110130230657,0.3934146043560922,0.3940748021645373,0.3867514179032985
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.274176911225901,7.479771971995597,7.489937556216424,7.498877242437344,7.7,6.888196623338317,7.177526081986048,7.177526081986048,7.1695176846557915,7.33,0.385980287887584,0.3022458900095497,0.31241147423037674,0.3293595577815527
