,excitation,UKS-OEP S,SS-KS-OEP S,OSS-KS-OEP S,STA-KS-OEP S,TBE S,UKS-OEP T,SS-KS-OEP T,OSS-KS-OEP T,STA-KS-OEP T,TBE T,UKS-OEP ST,SS-KS-OEP ST,OSS-KS-OEP ST,STA-KS-OEP ST,TBE ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.653205823188689,4.134982443861276,4.129107833889436,4.1359083553183,4.31,3.3951214296953642,3.7145154317406903,3.7145154317406903,3.7152073284701346,3.98,0.2580843934933248,0.42046701212058535,0.4145924021487457,0.42070102684816524,0.3299999999999996
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.341132690697596,6.56987477052138,6.55698944053025,6.562465938139789,6.66,6.045028278815153,6.183880599741893,6.183880599741893,6.189149815764356,6.37,0.2961044118824434,0.3859941707794867,0.3731088407883574,0.3733161223754333,0.29000000000000004
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,7.988876736867995,7.993210574100176,7.921166610987856,8.013414179754506,8.48,5.761766958467341,6.020742169795977,6.020742169795977,6.026406416242313,6.28,2.2271097784006546,1.9724684043041991,1.9004244411918796,1.9870077635121923,2.2
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,6.945374000154843,6.77274328958107,6.585963009788638,6.80195824012842,6.78,3.7483223801149324,4.041792220242105,4.041792220242105,4.063330904454,4.38,3.197051620039911,2.730951069338966,2.5441707895465333,2.73862733567442,2.4000000000000004
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.404961742026827,2.810948569457713,2.8070389250367405,2.8116619479782057,3.13,2.2660574656980272,2.556788242731145,2.556788242731145,2.5572227425237304,2.8,0.13890427632879998,0.2541603267265682,0.25025068230559544,0.2544392054544753,0.33000000000000007
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.882012670532973,9.09836711923589,9.09142984551759,9.101395450974577,9.33,7.652453423694689,7.795533366923386,7.795533366923386,7.795672064870378,8.03,1.229559246838284,1.3028337523125044,1.2958964785942042,1.3057233861041988,1.3000000000000007
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,7.861046937230538,7.757079516158323,7.54836563753899,7.785710112044653,7.89,3.992985586150552,4.190459656074484,4.190459656074484,4.212456484593498,4.54,3.8680613510799855,3.566619860083839,3.357905981464506,3.5732536274511544,3.3499999999999996
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.2696478195589114,3.724502829856966,3.717362126496282,3.7255037299316394,3.97,2.973754502744619,3.249671599927418,3.249671599927418,3.2505492122495627,3.58,0.29589331681429254,0.47483122992954785,0.4676905265688638,0.47495451768207664,0.3900000000000001
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.0490578775364305,5.517723140671585,5.511448523207684,5.51880705361727,5.63,4.842666070454438,5.167372320968145,5.167372320968145,5.168102974285819,5.37,0.20639180708199234,0.35035081970343995,0.34407620223953916,0.3507040793314511,0.2599999999999998
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.641793575498193,5.9925424691997,5.985229748958185,5.993897529717886,6.1,5.492100620550035,5.604900576174623,5.604900576174623,5.605688338235589,5.74,0.14969295494815782,0.38764189302507646,0.3803291727835614,0.3882091914822974,0.35999999999999943
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.3076948496547938,3.7331057129334138,3.7307207774669693,3.7333379073354966,3.86,3.3091692993872788,3.525089685878808,3.525089685878808,3.5254188955711525,3.77,-0.0014744497324850059,0.20801602705460587,0.2056310915881614,0.20791901176434413,0.08999999999999986
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.568401043099135,4.9339396839870355,4.922112767244479,4.935378331113532,5.21,4.040827547386337,4.32719082454261,4.32719082454261,4.328770912300775,4.64,0.5275734957127973,0.6067488594444255,0.5949219427018688,0.6066074188127573,0.5700000000000003
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.383567610860538,1.6738167660161682,1.6624256838608102,1.6758711312617252,1.95,0.5651888132208376,0.8333241575265113,0.8333241575265113,0.8345413761974709,1.16,0.8183787976397003,0.8404926084896569,0.8291015263342989,0.8413297550642542,0.79
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.801875167431863,7.0824695816565715,6.934645978724903,7.100585584825167,7.12,5.0136348366392856,5.245491296775545,5.245491296775545,5.267716615304794,5.52,1.7882403307925774,1.8369782848810265,1.6891546819493577,1.8328689695203728,1.6000000000000005
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.5923001256485958,2.0316950194045718,2.0240119028057983,2.0325693456809706,2.2,1.438093899121991,1.6513148068080277,1.6513148068080277,1.6523457322974835,1.94,0.15420622652660487,0.3803802125965441,0.3726970959977707,0.3802236133834871,0.26000000000000023
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.290717099109258,7.44549026379836,7.428958872135956,7.443667740912281,7.7,6.896031011262865,7.035136978099894,7.035136978099894,7.0386647891414915,7.33,0.3946860878463925,0.4103532856984664,0.39382189403606205,0.4050029517707898,0.3700000000000001
