,excitation,UKS-OEP S,SS-KS-OEP S,OSS-KS-OEP S,STA-KS-OEP S,TBE S,UKS-OEP T,SS-KS-OEP T,OSS-KS-OEP T,STA-KS-OEP T,TBE T,UKS-OEP ST,SS-KS-OEP ST,OSS-KS-OEP ST,STA-KS-OEP ST,TBE ST
Acetaldehyde,$\text{A}'' (\text{V}; n \rightarrow \pi^*)$,3.7659949552260263,4.111974341587509,4.106398912705686,4.112816041984739,4.31,3.4773561004245344,3.693136714692396,3.693136714692396,3.6938034804051743,3.98,0.288638854801492,0.4188376268951135,0.4132621980132898,0.41901256157956457,0.3299999999999996
Ammonia,$\text{A}_2(\text{R}; n \rightarrow 3s)$,6.398294363976924,6.613738624458761,6.601867738309806,6.606394791022708,6.66,6.088155222940337,6.221010426700198,6.221010426700198,6.226057544430918,6.37,0.31013914103658724,0.3927281977585624,0.38085731160960723,0.3803372465917896,0.29000000000000004
Carbon monoxide,$\Pi(\text{V}; n \rightarrow \pi^*)$,8.20738100577868,8.208684706644267,8.120509721815644,8.21938831432526,8.48,5.950944439882927,6.1868472636480325,6.1868472636480325,6.198878255688228,6.28,2.2564365658957533,2.021837442996234,1.9336624581676114,2.020510058637032,2.2
Cyclopropene,$\text{B}_1(\text{V}; \pi  \rightarrow \pi^*)$,6.4977619758649094,6.358402998112955,6.228988956124809,6.378612023295629,6.78,3.811819138596474,4.06106692513895,4.06106692513895,4.075999398807742,4.38,2.6859428372684353,2.297336072974005,2.167922030985859,2.302612624487887,2.4000000000000004
Diazomethane,$\text{A}_2(V;\pi \rightarrow \pi^*$),2.6509097271021815,2.9597098675619433,2.9559911161574397,2.9603669017498992,3.13,2.508991646038544,2.7136724652721944,2.7136724652721944,2.714091955004138,2.8,0.14191808106363757,0.2460374022897489,0.2423186508852453,0.24627494674576145,0.33000000000000007
Dinitrogen,$\Pi_g(\text{V}; n \rightarrow \pi^*)$,8.923234084033313,9.106268999980552,9.100240554131123,9.106968199857283,9.33,7.730064291221693,7.834955147630204,7.834955147630204,7.835720239431748,8.03,1.19316979281162,1.2713138523503478,1.2652854065009187,1.2712479604255353,1.3000000000000007
Ethylene,$\text{B}_{1u}(\text{R}; \pi \rightarrow \pi^*)$,7.421857937869932,7.313551000782981,7.176126842727159,7.3329578955476435,7.89,4.129933165330503,4.327238280849561,4.327238280849561,4.3418637659543595,4.54,3.2919247725394287,2.9863127199334203,2.8488885618775983,2.991094129593284,3.3499999999999996
Formaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,3.376040102028127,3.7150401237237665,3.7081368403702513,3.7159487598329517,3.97,3.043896394831434,3.2360520332369047,3.2360520332369047,3.236916715613305,3.58,0.33214370719669306,0.47898809048686175,0.47208480713334655,0.47903204421964674,0.3900000000000001
Formamide,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,5.236976245619106,5.570878271613509,5.564909135394782,5.571838247139427,5.63,4.995727253493701,5.219148864319625,5.219148864319625,5.219863494148342,5.37,0.24124899212540463,0.3517294072938837,0.3457602710751564,0.3519747529910848,0.2599999999999998
Hydrogen sulfide,$\text{A}_2 (\text{R}; n \rightarrow 4p)$,5.640865296918025,5.9679522484024,5.960261580676674,5.969237962179108,6.1,5.48386688700715,5.583288279765718,5.583288279765718,5.584164176862039,5.74,0.15699840991087477,0.3846639686366826,0.37697330091095616,0.3850737853170685,0.35999999999999943
Ketene,$\text{A}_2(\text{V}; \pi \rightarrow \pi^*)$,3.4331918163601784,3.769711724419643,3.767277050242672,3.769987887294637,3.86,3.4067569163763096,3.5680503556473453,3.5680503556473453,3.5683733795943295,3.77,0.02643489998386883,0.20166136877229768,0.1992266945953265,0.2016145077003073,0.08999999999999986
Methanimine,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,4.582533397805168,4.862677942873804,4.853376537762625,4.86385224656123,5.21,4.086000094327665,4.292424847069666,4.292424847069666,4.2936319331836845,4.64,0.496533303477503,0.5702530958041372,0.5609516906929581,0.5702203133775452,0.5700000000000003
Nitrosomethane,$\text{A}''(\text{V}; n \rightarrow \pi^*)$,1.4492958577581163,1.6610636019243938,1.6526588324545448,1.6626047015067582,1.95,0.6773424112726971,0.8584041238752963,0.8584041238752963,0.8592786609125249,1.16,0.7719534464854192,0.8026594780490975,0.7942547085792485,0.8033260405942333,0.79
Streptocyanine-C1,$\text{B}_2(\text{V}; \pi  \rightarrow \pi^*)$,6.33171016039148,6.525402058990043,6.4470702502927875,6.535218345201465,7.12,5.051672930713105,5.2405322213250445,5.2405322213250445,5.251845682480374,5.52,1.280037229678375,1.2848698376649983,1.206538028967743,1.2833726627210913,1.6000000000000005
Thioformaldehyde,$\text{A}_2(\text{V}; n \rightarrow \pi^*)$,1.7210282652065816,2.075778696212519,2.0681404110580317,2.0766061351161005,2.2,1.5265365915014835,1.6924153942144742,1.6924153942144742,1.6934513825160467,1.94,0.19449167370509812,0.3833633019980447,0.3757250168435575,0.3831547526000538,0.26000000000000023
Water,$\text{B}_1(\text{R}; n \rightarrow 3s)$,7.371092881207273,7.527212762466982,7.510672251977575,7.525600956667958,7.7,6.977698352817518,7.10958838956274,7.10958838956274,7.113036132911244,7.33,0.39339452838975575,0.4176243729042417,0.4010838624148354,0.4125648237567141,0.3700000000000001
