"Molecule";"State";"Excitation";"LDA S";"PBE S";"r2SCAN S";"PBE0 S";"r2SCAN0 S";"HSE12 S";"TBE S"
"Aminobenzonitrile";"A1";"CT";4.906;4.890;5.152;5.192;5.346;5.239;5.09
"Aniline";"A1";"CT";5.276;5.194;5.601;5.520;5.751;5.383;5.48
"Azulene";"A1";"CT";3.634;3.619;3.747;3.805;3.873;3.831;3.84
"Azulene";"B2";"CT";4.536;4.535;4.782;4.850;5.002;4.906;4.49
"Benzonitrile";"A2";"CT";5.726;5.737;6.082;6.306;6.517;6.382;7.05
"Benzothiadiazole";"B2";"CT";3.734;3.730;3.903;4.102;4.197;4.146;4.28
"Dimethylaminobenzonitrile";"A1";"CT";4.555;4.581;4.821;4.967;5.105;5.022;4.86
"Dimethylaniline";"B2";"CT";4.045;4.109;4.397;4.605;4.782;4.692;4.40
"Dimethylaniline";"A1";"CT";5.146;5.160;5.433;5.505;5.663;5.559;5.40
"Hydrogen chloride";"Pi";"CT";7.185;7.099;7.936;7.585;8.099;7.724;7.88
"Nitroaniline";"A1";"CT";3.734;3.753;3.997;4.265;4.423;4.339;4.39
"Nitrobenzene";"A1";"CT";4.520;4.544;4.796;5.055;5.203;5.125;5.39
"Nitrodimethylaniline";"A1";"CT";3.416;3.453;3.674;4.002;4.149;4.077;4.13
"Nitropyridine N-Oxide";"A1";"CT";3.776;3.785;4.010;4.271;4.408;4.329;4.10
"N-Phenylpyrrole";"B2";"CT";4.071;4.086;4.402;4.829;5.011;4.918;5.32
"N-Phenylpyrrole";"A1";"CT";3.935;3.961;4.276;4.839;5.017;5.291;5.86
"Phthalazine";"A2";"CT";2.511;2.668;3.099;3.677;3.938;3.854;3.91
"Phthalazine";"B1";"CT";3.130;3.275;3.708;4.109;4.361;4.243;4.31
"Quinoxaline";"B2";"CT";3.835;3.849;4.055;4.342;4.456;4.412;4.63
"Quinoxaline";"A1";"CT";4.291;4.292;4.521;4.590;4.734;4.640;5.65
"Quinoxaline";"B1";"CT";4.684;4.797;5.278;5.872;6.172;6.087;6.22
"Twisted DMABN";"A2";"CT";2.193;2.326;2.701;3.343;3.587;3.513;4.12
"Twisted DMABN";"B1";"CT";2.789;2.933;3.340;4.047;4.306;4.261;4.75
"Twisted PP";"B2";"CT";3.561;3.589;3.933;4.542;4.758;4.669;5.58
"Twisted PP";"A1";"CT";3.611;3.638;3.966;4.653;4.858;4.789;5.65
"Twisted PP";"A2";"CT";4.167;4.198;4.591;5.176;5.427;5.307;5.95
"Twisted PP";"B1";"CT";4.205;4.236;4.615;5.260;5.553;5.387;6.17
