,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.811719525146643,4.905695272328807,4.9064634089845125,4.906415937420422,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.466572662556237,5.485149211659318,5.486360921388635,5.486465666651783,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.148916821333364,4.0426823395417,4.041734376119357,4.043599709800741,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.503303592848327,4.770396904965407,4.770729090631853,4.770177969881547,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.393249186020161,6.689795098651335,6.689830619630742,6.689542823427545,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.126663756048133,4.080486987530115,4.081088457611432,4.080724401644405,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.554411017769903,4.702483600117057,4.702833496223755,4.703132279018696,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.450620582143623,4.693678023240946,4.693528693325246,4.6932704053366034,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.2676077282402956,5.36641211233921,5.365001961973042,5.366797198867222,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.570578505746963,7.670461472050068,7.669350708045192,7.666788567470213,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.016170054416831,4.258349171010908,4.260808707092647,4.257703783744337,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.1315717774804295,5.187886437011195,5.194214153519004,5.187621267729486,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.7202004562640956,4.0016295427941815,4.003058066733798,4.001118733512367,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.7585156321672186,3.912063808849402,3.913078249847998,3.912553668241465,4.1
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.5638512976657863,3.8674966981362213,3.867588271940309,3.867338964763326,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,4.068630154375384,4.16439895488681,4.16485239665372,4.163858918392505,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.474819532610316,4.505718543519586,4.508386149989695,4.505417488649364,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.194319011444076,5.510923013666957,5.51187078958135,5.510475042048222,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,6.025866710286766,6.186489712949665,6.185987170159971,6.185393883570078,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.468050440675782,4.798678935985132,4.798686536284508,4.79830215508919,4.75
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,6.1962838114016145,6.2515168936481516,6.2535483794542746,6.250704552537538,6.17
