,excitation,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.906415937352364,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.486465666664157,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.043599709828584,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.770177969736149,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.689542823415171,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.080724401792897,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.703132279154813,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.69327040550675,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.366795338782288,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.815449461144949,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.257703783750524,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.187621267794451,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.001118733431934,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.912553668272401,4.1
N-Phenylpyrrole,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.9037583590028095,5.86
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.8673389647014544,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,4.163858918500781,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.505417488615334,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.510475042165778,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,6.185393883573171,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.798302155138687,4.75
Twisted PP,$2\text{B}_2 (\pi \rightarrow \pi^*)$,5.511920838111394,5.58
Twisted PP,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.771793414814652,5.65
Twisted PP,$1\text{A}_2 (\pi \rightarrow \pi^*)$,5.983710582802191,5.95
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,6.250689665281116,6.17
