,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.977475868601998,3.9832432850917185,3.9834587748639296,3.983439394900056,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.641515268299829,4.641461857811501,4.642325725214161,4.641911853310845,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.320963094899221,3.297842027817552,3.297773537782179,3.2980501716907753,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.166828236700532,4.215225818893296,4.215323726974705,4.215204081128001,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.807091772508198,6.832355061103824,6.83249423440692,6.83223156265427,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.403938223819623,3.3853755230752203,3.3854998751914405,3.3855129848160628,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.780436923497927,3.7936758995329964,3.7937319100282494,3.7938391340764666,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.9907596366212195,4.033967357290362,4.034111395582089,4.034178875137326,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.468662263480894,4.477179464667867,4.477366036981369,4.477554009080144,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.816237834699559,7.8660463316429485,7.866885655992835,7.866317630993349,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.4928753733689137,3.5131674889511446,3.5137220588429496,3.5132149022198504,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.465756464249095,4.453549418124845,4.455259233639369,4.4536825232385455,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.2473137592341743,3.274401219330394,3.274664382278268,3.274398937061774,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.0595529452600556,3.0797001862728957,3.0800597105936043,3.0797699226489796,4.1
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.114519841767955,3.1751522869259596,3.175220708039508,3.175102279101214,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,3.603650374522527,3.603218460287536,3.6034143919459964,3.603014797226957,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.7784204948258755,3.7624544566994085,3.7630376416495785,3.7624818012531245,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,4.745384639146137,4.802343344011201,4.802617823654155,4.802256982694269,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,5.154689467609242,5.190675304525308,5.190667482533944,5.1906577984344455,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.260185707007642,4.324517541224204,4.324517115810823,4.324507945514417,4.75
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,5.55584952660351,5.568580773227137,5.568920309024585,5.568403888391321,6.17
