,excitation,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.983439394900056,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.641911853310845,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.2980501716907753,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.215204081128001,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.83223156265427,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.3855129848160628,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.7938391340764666,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.034178875137326,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.477554009080144,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.866317630993349,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.5132149022198504,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.4536825232385455,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.274398937061774,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.0797699226489796,4.1
N-Phenylpyrrole,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.85220942701967,5.86
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.175102279101214,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,3.603014797226957,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.7624818012531245,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,4.802256982694269,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,5.1906577984344455,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.324507945514417,4.75
Twisted PP,$2\text{B}_2 (\pi \rightarrow \pi^*)$,5.452265983083606,5.58
Twisted PP,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.735414131727725,5.65
Twisted PP,$1\text{A}_2 (\pi \rightarrow \pi^*)$,5.5300713142487465,5.95
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,5.568403888391321,6.17
