,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.01382708254499,4.029749395823229,4.030326900645524,4.030366399239268,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.692335999247681,4.695081811134923,4.696592181051403,4.6961816754590355,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.3999072493415627,3.352270789419524,3.352171597685759,3.3529927058386977,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.109006278099691,4.2061302493024435,4.206426177034234,4.206040144870574,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,7.163212644941815,6.670001692225768,6.6702814534231,6.669657557320346,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.4576770856787395,3.424755814814228,3.425141530331616,3.4251600014424852,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.817981286784893,3.847073038586593,3.8472587713865476,3.8475527916119456,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.991214786018446,4.0705955169653345,4.070882175415503,4.07079413440017,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.5298140410529735,4.544633689131061,4.544906712116402,4.54553321491749,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.5856683166320105,7.680055764500588,7.679438813290224,7.677856617814712,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.522870770628483,3.5600997954789007,3.5617124327860643,3.56014817081634,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.554100401503862,4.525993177122301,4.531313215969545,4.526709904092195,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.2787478342184335,3.328433003937172,3.329283977470622,3.3285160273917005,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.08523036177114,3.1164644993960064,3.1174469014012116,3.116768044964666,4.1
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.111365183541288,3.21027455215758,3.2104055671633533,3.2101354908605693,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,3.5827532249828593,3.6163212015040846,3.6169098312722125,3.615788230720314,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.8544989561748557,3.8249496776911545,3.826715981352471,3.8251178992741877,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,4.6834717803953305,4.798156334976959,4.7990051104366085,4.797907814045203,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,5.152395575649609,5.212925715953701,5.212915306580305,5.212777709421178,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.240195617691504,4.352025414829566,4.352010502075873,4.352005080215358,4.75
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,5.574080647305048,5.5913776148981,5.592648149833189,5.5910161369581255,6.17
