,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.703399553282256,4.77915131463654,4.779860014903732,4.779814132578728,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.34211090009049,5.354371680786302,5.355926593564191,5.355689776674418,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.031561510849058,3.9432233690878777,3.942396258258245,3.9440743909182676,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.45190805898447,4.681598847191058,4.681938053797776,4.681397928369291,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.388030169240676,6.596082987657142,6.596111827838273,6.595832543599519,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.018406566679049,3.9762213724675313,3.976690196011684,3.9764492218016265,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.4621565007369295,4.5828888890854484,4.583141081670489,4.583464087586554,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.384998137446362,4.59023506161683,4.590316253277195,4.5901351283369465,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.1696105994159245,5.230974883817829,5.229094908850411,5.230940789389334,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.681517601390675,7.782448120555637,7.781587444214276,7.779367176146152,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.9696137819643487,4.158606080820781,4.160797588065784,4.158094641438996,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.057301361632737,5.089026824646791,5.09480150650657,5.088886252836068,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.6865852664059244,3.9086246192796885,3.9098844206374985,3.9082132793524234,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.667399270282121,3.7913758068705534,3.7921853534778993,3.791834823209364,4.1
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.495263080729984,3.751200873593444,3.7512961005388457,3.7510248872193044,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,3.992571675059337,4.071425745014107,4.071883158396907,4.07085328362421,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.384761326700436,4.398228939979172,4.400558003894553,4.397968829022345,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.145379985658516,5.4153695453903765,5.416332481349806,5.414994994348562,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,5.878690722622742,6.016744937963282,6.016708344044399,6.016216814590431,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.446080722549057,4.727510207890846,4.7275128069480425,4.72719750015261,4.75
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,6.018016173163784,6.163238774953994,6.164954282231341,6.162513339166007,6.17
