,excitation,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.779814132516856,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.355689786180983,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.9440743909522973,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.681397928378572,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.5958325436087994,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.976449221869685,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.583464087518495,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.590134483656944,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.23094078947286,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.800255088459852,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.158094641423528,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.088886252845349,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.9082132792472417,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.791834823203177,4.1
N-Phenylpyrrole,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.843091597288127,5.86
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.751024887200743,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,4.070853283726298,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.397968829040907,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.414994994308345,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,6.016216815404042,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.727197500137142,4.75
Twisted PP,$2\text{B}_2 (\pi \rightarrow \pi^*)$,5.500066405641262,5.58
Twisted PP,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.528713405428424,5.65
Twisted PP,$1\text{A}_2 (\pi \rightarrow \pi^*)$,5.921854373240566,5.95
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,6.1625128185292,6.17
