,excitation,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.03036639934445,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.69618167547141,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.3529927058912885,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.206040144839638,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.669657546647502,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.4251600013806134,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.8475527915098575,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.0707941344249186,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.5455332149515195,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.658644249869489,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.560148170853463,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.526709911303326,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.328469678323113,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.1167677191057197,4.1
N-Phenylpyrrole,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.778184136078969,5.86
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.2101353844847957,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,3.6157882306398808,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.825117899323685,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,4.797907814035923,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,5.212777709315996,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.352005080122551,4.75
Twisted PP,$2\text{B}_2 (\pi \rightarrow \pi^*)$,5.358010530144122,5.58
Twisted PP,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.652750589417419,5.65
Twisted PP,$1\text{A}_2 (\pi \rightarrow \pi^*)$,5.479398184488077,5.95
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,5.591016136877693,6.17
