,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.310642852243262,4.378891903181745,4.379390331293033,4.380730139124347,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.112288262537045,5.140642260687212,5.141889582155327,5.1437762927732535,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.7778844181268996,3.655835834244304,3.652943167241902,3.657968967568509,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.164251031797367,4.4195782554044625,4.4203128621818175,4.419070020409564,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.060144204225255,6.715223715613747,6.715239732991341,6.7138123924845265,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,3.7891139594974996,3.7120217917076492,3.7120180245277687,3.7130662138639132,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.038100896990236,4.144215753009424,4.143643414858395,4.14568318116436,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.108332775650559,4.318244684527462,4.318907644269985,4.318621951538973,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.847157384922855,4.91475797983034,4.912412633461039,4.917551235974659,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.905083977083073,8.038470490276703,8.039528691701221,8.048490160002942,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.692284747241827,3.8156033756964596,3.8201849404628163,3.8156311529829625,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.886907787902596,4.844855196942898,4.857393680944636,4.845998378644611,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.382370974033463,3.539249440065422,3.541466832023237,3.5392051609346336,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.289666964832474,3.3694133841625433,3.3714378553671356,3.370154736814681,4.1
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.2161858045354985,3.4452916889350056,3.445497288689885,3.4454433217503984,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,3.8077877890321337,3.88604042012907,3.88878938988816,3.8854394841756537,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.177893463080072,4.128546674335389,4.132528464944647,4.1288102266873965,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,4.741397591789904,5.046341876199897,5.049262886663075,5.0451647238251836,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,5.418136037732193,5.54350654982133,5.5434800896968195,5.543411308125748,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.238664727060444,4.499464859133386,4.499533022777717,4.499238041674613,4.75
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,5.8179284659629005,5.879301979637183,5.883601513222186,5.8777637683754795,6.17
