,excitation,UKS S,pa-SS-KS S,pa-OSS-KS S,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.855979245892482,5.012217086481861,5.013021071931061,5.0139125771246045,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.594851190125744,5.641969372930509,5.645969242128176,5.646067965562288,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.311607272365307,4.146744100419362,4.143075190587627,4.148943155468816,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.438559342464176,4.820099419497505,4.820800872374514,4.8193954814440945,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.267296824886836,6.671823814283517,6.671908043930301,6.672259836227082,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.231997869174009,4.161864156837708,4.162319581012721,4.162283072127016,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.545316491760472,4.779696257994146,4.779212000010773,4.78114614377983,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.40547665072199,4.746508487151528,4.746859179947372,4.746112349205845,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.340679531562579,5.478225527549351,5.475857574577183,5.480659794988872,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.7628164994219535,7.89792919435812,7.898111629057429,7.90368938817844,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.9845191224257137,4.32101189569616,4.326511092234083,4.319451832073752,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.232532068825677,5.29322216626863,5.305135019180787,5.29243864586198,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.6507885252813517,4.043641767603304,4.0466000140667635,4.042417319092029,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.7778831413886906,3.967851321232264,3.9695644900739886,3.9686499412106886,4.1
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.4793465037187814,3.8827985990270326,3.8829783573637244,3.8830417988746704,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,4.103278960992034,4.224976469861034,4.226919805033981,4.224767420355221,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.552977680052748,4.586765326011383,4.5915963651007425,4.586048032678506,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.112189887498595,5.565953586989534,5.568712325420358,5.564724472948072,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,6.0112118928001985,6.2071667872703875,6.207113536076578,6.206685360671919,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.353926555562797,4.779192861101592,4.7792509718207725,4.778427019218749,4.75
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,6.02805352066673,6.216081771205886,6.312583772584107,6.305613990570058,6.17
