,excitation,pa-STA-KS S,TBE S
Aminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.0139125771246045,5.09
Aniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.646067965562288,5.48
Azulene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.148943155468816,3.84
Azulene,$2\text{B}_2 (\pi \rightarrow \pi^*)$,4.8193954814440945,4.49
Benzonitrile,$1\text{A}_2 (\pi_\text{CN} \rightarrow \pi^*)$,6.672259836227082,7.05
Benzothiadiazole,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.162283072127016,4.28
Dimethylaminobenzonitrile,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.78114614377983,4.86
Dimethylaniline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.746112349205845,4.4
Dimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.480659794988872,5.4
Hydrogen chloride,$1\Pi (n \rightarrow \sigma^*)$,7.90368938817844,7.88
Nitroaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.319451832073752,4.39
Nitrobenzene,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.29243864586198,5.39
Nitrodimethylaniline,$2\text{A}_1 (\pi \rightarrow \pi^*)$,4.042417319092029,4.13
Nitropyridine N-Oxide,$2\text{A}_1 (\pi \rightarrow \pi^*)$,3.9686499412106886,4.1
N-Phenylpyrrole,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.961976424335132,5.86
Phthalazine,$1\text{A}_2 (n \rightarrow \pi^*)$,3.8830417988746704,3.91
Phthalazine,$1\text{B}_1 (n \rightarrow \pi^*)$,4.224767420355221,4.31
Quinoxaline,$1\text{B}_2 (\pi \rightarrow \pi^*)$,4.586048032678506,4.63
Quinoxaline,$3\text{A}_1 (\pi \rightarrow \pi^*)$,5.564724472948072,5.65
Quinoxaline,$2\text{B}_1 (n \rightarrow \pi^*)$,6.206685360671919,6.22
Twisted DMABN,$1\text{B}_1 (n \rightarrow \pi^*)$,4.778427019218749,4.75
Twisted PP,$2\text{B}_2 (\pi \rightarrow \pi^*)$,5.575941545268875,5.58
Twisted PP,$2\text{A}_1 (\pi \rightarrow \pi^*)$,5.829779741371702,5.65
Twisted PP,$1\text{A}_2 (\pi \rightarrow \pi^*)$,6.329338878972985,5.95
Twisted PP,$1\text{B}_1 (\pi \rightarrow \pi^*)$,6.305613990570058,6.17
